        Accel-X: -11.25488281	Y: 0.02258301	Z: 0.80017090	|  Gyro-X: 7.40951538	Y: 1.75704956	Z: -3.08044434
        Accel-X: -11.28051758	Y: 0.30578613	Z: 0.74523926	|  Gyro-X: 7.47680664	Y: 1.13647461	Z: -3.70849609
        Accel-X: -11.25549316	Y: 0.37048340	Z: 0.74829102	|  Gyro-X: 6.24313354	Y: 1.07666016	Z: -3.43933105
        Accel-X: -11.30737305	Y: 0.29357910	Z: 0.78796387	|  Gyro-X: 5.87677002	Y: 1.36077881	Z: -2.96081543
        Accel-X: -11.40808105	Y: 0.27954102	Z: 0.72631836	|  Gyro-X: 4.34402466	Y: 1.39068604	Z: -3.67111206
        Accel-X: -11.37329102	Y: 0.28747559	Z: 0.75012207	|  Gyro-X: 4.80010986	Y: 0.90469360	Z: -3.40194702
        Accel-X: -11.39404297	Y: 0.27160645	Z: 0.82092285	|  Gyro-X: 5.33843994	Y: 0.51589966	Z: -3.32717896
        Accel-X: -11.38854980	Y: 0.23254395	Z: 0.77270508	|  Gyro-X: 4.69543457	Y: -0.02243042	Z: -2.69912720
        Accel-X: -11.30310059	Y: 0.18981934	Z: 0.82824707	|  Gyro-X: 4.62066650	Y: -0.50842285	Z: -2.96829224
        Accel-X: -11.21643066	Y: 0.32775879	Z: 0.94482422	|  Gyro-X: 5.59265137	Y: -0.73272705	Z: -2.77389526
        Accel-X: -11.19750977	Y: 0.18981934	Z: 0.84899902	|  Gyro-X: 5.47302246	Y: -0.55328369	Z: -2.64678955
        Accel-X: -11.28540039	Y: 0.26855469	Z: 0.81359863	|  Gyro-X: 5.91415405	Y: -0.07476807	Z: -2.10845947
        Accel-X: -11.11328125	Y: 0.51086426	Z: 0.87341309	|  Gyro-X: 4.28421021	Y: 0.05981445	Z: -2.40005493
        
