        Accel-X: -6.22070312	Y: -0.50903320	Z: 5.45898438	|  Gyro-X: -28.77075195	Y: 109.31838989	Z: 0.71777344
        Accel-X: -9.05029297	Y: -4.49584961	Z: 6.01257324	|  Gyro-X: -29.03991699	Y: 97.79663086	Z: -19.40979004
        Accel-X: -10.09094238	Y: -3.76770020	Z: 1.85791016	|  Gyro-X: 17.21160889	Y: 42.77481079	Z: -11.02081299
        Accel-X: -7.16796875	Y: -2.83203125	Z: -0.82214355	|  Gyro-X: -10.80398560	Y: 4.16458130	Z: 9.66751099
        Accel-X: -7.98950195	Y: -3.47229004	Z: 0.15563965	|  Gyro-X: -24.56130981	Y: 32.32223511	Z: 8.99459839
        Accel-X: -9.65087891	Y: -2.83447266	Z: -0.04516602	|  Gyro-X: 3.07296753	Y: 41.54113770	Z: -9.15161133
        Accel-X: -7.88635254	Y: -2.73559570	Z: -2.79724121	|  Gyro-X: -28.26980591	Y: 3.84307861	Z: -8.38897705
        Accel-X: -8.42651367	Y: -1.46850586	Z: -3.82995605	|  Gyro-X: -17.37609863	Y: 64.32296753	Z: -25.44357300
        Accel-X: -10.66345215	Y: -3.96179199	Z: -3.16589355	|  Gyro-X: -1.09161377	Y: 68.33053589	Z: -45.01037598
        Accel-X: -11.43798828	Y: -4.78637695	Z: -2.63061523	|  Gyro-X: 11.26007080	Y: 48.89083862	Z: -40.65887451
        Accel-X: -10.92102051	Y: -4.68933105	Z: -3.52294922	|  Gyro-X: 21.54815674	Y: 5.42068481	Z: -25.85479736
        Accel-X: -7.59521484	Y: -4.99511719	Z: -2.24304199	|  Gyro-X: 22.28088379	Y: -37.26440430	Z: -23.55941772
        Accel-X: -7.48962402	Y: -5.71472168	Z: -0.99121094	|  Gyro-X: 21.09954834	Y: -7.40951538	Z: -28.95019531
        Accel-X: -10.06652832	Y: -5.18066406	Z: -1.04492188	|  Gyro-X: 28.68103027	Y: 17.30133057	Z: -30.84182739
        Accel-X: -10.55603027	Y: -4.73999023	Z: -1.17797852	|  Gyro-X: 16.82281494	Y: 11.80587769	Z: -24.76318359
        Accel-X: -10.21484375	Y: -5.81237793	Z: -0.71594238	|  Gyro-X: 13.66760254	Y: -3.91784668	Z: -27.28286743
        Accel-X: -9.43237305	Y: -6.74377441	Z: -1.02966309	|  Gyro-X: 29.09973145	Y: -6.57211304	Z: -28.54644775
        Accel-X: -9.40917969	Y: -5.73913574	Z: -2.12951660	|  Gyro-X: 48.09829712	Y: 8.81515503	Z: -25.37628174
        Accel-X: -9.25781250	Y: -4.88586426	Z: -2.68920898	|  Gyro-X: 39.58221436	Y: 11.64138794	Z: -21.07711792
        Accel-X: -8.95019531	Y: -5.05737305	Z: -2.87780762	|  Gyro-X: 15.04333496	Y: 7.85812378	Z: -17.36862183
        Accel-X: -8.65112305	Y: -5.36987305	Z: -3.16345215	|  Gyro-X: 11.70120239	Y: 7.79830933	Z: -17.22656250
        Accel-X: -8.43994141	Y: -5.40161133	Z: -3.09509277	|  Gyro-X: 17.35366821	Y: 6.22070312	Z: -20.44906616
        Accel-X: -8.17687988	Y: -4.20837402	Z: -2.95471191	|  Gyro-X: 8.98712158	Y: 1.12152100	Z: -17.56301880
        Accel-X: -8.55468750	Y: -5.58715820	Z: -1.99829102	|  Gyro-X: -12.32177734	Y: 3.05801392	Z: -17.89199829
        Accel-X: -8.61755371	Y: -6.91650391	Z: -1.94458008	|  Gyro-X: -7.67120361	Y: 4.08981323	Z: -24.89028931
        Accel-X: -7.84423828	Y: -5.18310547	Z: -2.36999512	|  Gyro-X: -4.38140869	Y: 1.95892334	Z: -20.12756348
        Accel-X: -8.07250977	Y: -6.67236328	Z: -1.64794922	|  Gyro-X: -18.77426147	Y: 4.44869995	Z: -25.01739502
        Accel-X: -8.73840332	Y: -7.63977051	Z: -1.21093750	|  Gyro-X: -8.07495117	Y: 11.05072021	Z: -27.73895264
        Accel-X: -8.59863281	Y: -6.88049316	Z: -2.02270508	|  Gyro-X: 6.46743774	Y: 11.96289062	Z: -24.19494629
        Accel-X: -7.31567383	Y: -5.52246094	Z: -2.09594727	|  Gyro-X: -5.36087036	Y: 5.53283691	Z: -20.65841675
        Accel-X: -7.59277344	Y: -6.72180176	Z: -1.56066895	|  Gyro-X: -17.48077393	Y: 7.08053589	Z: -21.61544800
        Accel-X: -9.11315918	Y: -8.14331055	Z: -1.71752930	|  Gyro-X: 0.26916504	Y: 14.66201782	Z: -28.64364624
        Accel-X: -7.68249512	Y: -6.10351562	Z: -2.10327148	|  Gyro-X: 6.96838379	Y: -7.52914429	Z: -17.87704468
        Accel-X: -6.69799805	Y: -5.07568359	Z: -1.86767578	|  Gyro-X: -20.14999390	Y: -3.29727173	Z: -11.97784424
        Accel-X: -7.42431641	Y: -6.06811523	Z: -1.95312500	|  Gyro-X: -29.88479614	Y: 4.70291138	Z: -10.98342896
        Accel-X: -7.87902832	Y: -6.14135742	Z: -1.68151855	|  Gyro-X: -27.44735718	Y: 1.71218872	Z: -14.66201782
        Accel-X: -7.52563477	Y: -6.32690430	Z: -2.71545410	|  Gyro-X: -20.11260986	Y: -2.19070435	Z: -16.50878906
        Accel-X: -7.29370117	Y: -6.22924805	Z: -2.40539551	|  Gyro-X: -15.29754639	Y: -4.54589844	Z: -16.43402100
        Accel-X: -7.42736816	Y: -6.48803711	Z: -2.44750977	|  Gyro-X: -14.51248169	Y: 0.03738403	Z: -17.78732300
        
