        Accel-X: -1.74682617	Y: 1.11633301	Z: 9.95788574	|  Gyro-X: 1.11404419	Y: -0.32150269	Z: 3.73092651
        Accel-X: -1.54785156	Y: 1.23413086	Z: 10.05126953	|  Gyro-X: -0.47851562	Y: -2.13836670	Z: 1.62994385
        Accel-X: -1.65832520	Y: 1.24450684	Z: 10.12145996	|  Gyro-X: 9.50302124	Y: 0.38131714	Z: -1.09909058
        Accel-X: -1.69982910	Y: 1.39587402	Z: 10.03295898	|  Gyro-X: 7.08801270	Y: 1.58508301	Z: 0.82244873
        Accel-X: -1.71020508	Y: 1.58996582	Z: 10.04455566	|  Gyro-X: -0.20935059	Y: 0.24673462	Z: 1.99630737
        Accel-X: -1.58386230	Y: 1.34948730	Z: 10.19897461	|  Gyro-X: 1.85424805	Y: 0.35140991	Z: -0.84487915
        Accel-X: -1.70104980	Y: 1.48559570	Z: 9.81689453	|  Gyro-X: 10.42266846	Y: 0.58319092	Z: -3.44680786
        Accel-X: -1.68884277	Y: 1.46362305	Z: 10.04333496	|  Gyro-X: 4.13467407	Y: 0.67291260	Z: -3.33465576
        Accel-X: -1.62475586	Y: 1.13098145	Z: 9.98107910	|  Gyro-X: -2.36267090	Y: 0.77011108	Z: -2.60940552
        Accel-X: -1.66442871	Y: 1.27502441	Z: 10.10803223	|  Gyro-X: 1.26358032	Y: 1.19628906	Z: -4.14215088
        Accel-X: -1.73217773	Y: 1.15356445	Z: 10.01037598	|  Gyro-X: 4.65805054	Y: 1.75704956	Z: -5.33096313
        Accel-X: -1.66870117	Y: 1.23535156	Z: 10.21850586	|  Gyro-X: 7.92541504	Y: 2.18322754	Z: -6.20574951
        Accel-X: -1.67297363	Y: 1.06750488	Z: 10.23010254	|  Gyro-X: 8.11981201	Y: 1.70471191	Z: -5.61508179
        Accel-X: -1.62902832	Y: 1.02478027	Z: 10.16723633	|  Gyro-X: 3.13278198	Y: 2.16827393	Z: -4.08981323
