        Accel-X: -10.91369629	Y: -0.96618652	Z: -0.24108887	|  Gyro-X: 4.00009155	Y: 1.75704956	Z: -8.76281738
        Accel-X: -11.09436035	Y: -0.95336914	Z: -0.33691406	|  Gyro-X: 13.00216675	Y: 3.76831055	Z: -9.86190796
        Accel-X: -11.09558105	Y: -0.60119629	Z: -0.41870117	|  Gyro-X: 13.88442993	Y: 3.37951660	Z: -8.92730713
        Accel-X: -10.99304199	Y: -0.38757324	Z: -0.42236328	|  Gyro-X: 4.92721558	Y: 2.12341309	Z: -6.84875488
        Accel-X: -11.11022949	Y: -0.96069336	Z: -0.39184570	|  Gyro-X: -2.18322754	Y: 2.94586182	Z: -5.99639893
        Accel-X: -11.10595703	Y: -1.19506836	Z: -0.17150879	|  Gyro-X: 3.95523071	Y: 1.02432251	Z: -6.07864380
        Accel-X: -11.11633301	Y: -0.90637207	Z: -0.20080566	|  Gyro-X: 12.59094238	Y: 2.11593628	Z: -6.54220581
        Accel-X: -11.17675781	Y: -0.36437988	Z: -0.34729004	|  Gyro-X: 8.49365234	Y: 1.69723511	Z: -6.23565674
        Accel-X: -11.22192383	Y: -0.63049316	Z: -0.49804688	|  Gyro-X: -0.17196655	Y: 2.05612183	Z: -6.60202026
        Accel-X: -11.21154785	Y: -0.97961426	Z: -0.09582520	|  Gyro-X: -0.17944336	Y: 1.86172485	Z: -7.17025757
        Accel-X: -11.14013672	Y: -1.13830566	Z: -0.15991211	|  Gyro-X: 5.75714111	Y: 1.62246704	Z: -7.28988647
        Accel-X: -11.17065430	Y: -0.89538574	Z: -0.22155762	|  Gyro-X: 12.56851196	Y: 2.82623291	Z: -7.27493286
        Accel-X: -11.15295410	Y: -0.45471191	Z: -0.44555664	|  Gyro-X: 6.50482178	Y: 2.10098267	Z: -6.08612061
        Accel-X: -11.05712891	Y: -0.81787109	Z: -0.27526855	|  Gyro-X: -1.78695679	Y: 1.33087158	Z: -5.12161255
        Accel-X: -11.06506348	Y: -1.32263184	Z: -0.20629883	|  Gyro-X: 0.80749512	Y: 1.66732788	Z: -4.78515625
        Accel-X: -11.05407715	Y: -1.00036621	Z: -0.17822266	|  Gyro-X: 8.65066528	Y: 2.51220703	Z: -4.55337524
        Accel-X: -11.03271484	Y: -0.61157227	Z: -0.37658691	|  Gyro-X: 8.45626831	Y: 2.11593628	Z: -3.78326416
        Accel-X: -11.10656738	Y: -0.76599121	Z: -0.44494629	|  Gyro-X: 1.51779175	Y: 2.34024048	Z: -3.55148315
        Accel-X: -11.04187012	Y: -0.88562012	Z: -0.28137207	|  Gyro-X: 0.58319092	Y: 2.26547241	Z: -3.29727173
