        Accel-X: -11.62902832	Y: 0.17822266	Z: 0.81909180	|  Gyro-X: 11.77597046	Y: -2.91595459	Z: -2.09350586
        Accel-X: -11.52099609	Y: 0.65734863	Z: 1.05590820	|  Gyro-X: 15.20034790	Y: -3.21502686	Z: -1.57760620
        Accel-X: -11.27380371	Y: 0.91247559	Z: 0.90454102	|  Gyro-X: 9.33853149	Y: -3.40194702	Z: -0.92712402
        Accel-X: -11.23474121	Y: 0.62683105	Z: 1.01562500	|  Gyro-X: 6.01882935	Y: -3.08792114	Z: -0.40374756
        Accel-X: -11.15234375	Y: 0.53283691	Z: 1.02233887	|  Gyro-X: 9.83200073	Y: -3.40942383	Z: -1.28601074
        Accel-X: -11.03332520	Y: 0.67626953	Z: 0.90820312	|  Gyro-X: 13.61526489	Y: -4.29168701	Z: -2.55706787
        Accel-X: -10.95397949	Y: 0.95581055	Z: 1.10595703	|  Gyro-X: 8.81515503	Y: -2.78884888	Z: -3.57391357
        Accel-X: -10.99670410	Y: 0.68359375	Z: 1.06201172	|  Gyro-X: 6.43005371	Y: -2.43743896	Z: -3.34213257
        Accel-X: -11.09252930	Y: 0.63232422	Z: 0.95825195	|  Gyro-X: 10.03387451	Y: -2.07855225	Z: -3.61877441
        Accel-X: -10.97717285	Y: 0.72082520	Z: 0.93627930	|  Gyro-X: 13.78723145	Y: -2.12341309	Z: -4.44122314
        Accel-X: -11.18164062	Y: 1.06689453	Z: 0.79406738	|  Gyro-X: 11.72363281	Y: -0.59066772	Z: -4.34402466
        Accel-X: -11.14135742	Y: 1.22924805	Z: 1.03759766	|  Gyro-X: 2.99072266	Y: 0.59066772	Z: -3.17016602
        Accel-X: -11.33605957	Y: 0.55908203	Z: 1.01501465	|  Gyro-X: -2.62435913	Y: 1.15142822	Z: -1.81686401
        Accel-X: -11.42333984	Y: 0.57067871	Z: 0.90270996	|  Gyro-X: 8.43383789	Y: -0.74768066	Z: -3.20007324
        Accel-X: -11.24572754	Y: 0.97412109	Z: 0.98815918	|  Gyro-X: 11.63391113	Y: -0.99441528	Z: -3.82812500
        Accel-X: -11.30798340	Y: 0.98266602	Z: 1.03576660	|  Gyro-X: 5.65994263	Y: -0.57571411	Z: -3.99261475
        Accel-X: -11.25915527	Y: 0.74890137	Z: 1.01623535	|  Gyro-X: 2.61688232	Y: -1.51031494	Z: -4.01504517
        Accel-X: -11.25915527	Y: 0.60791016	Z: 1.04919434	|  Gyro-X: 5.51040649	Y: -1.40563965	Z: -4.75524902
        Accel-X: -11.30310059	Y: 0.68237305	Z: 1.07849121	|  Gyro-X: 7.31231689	Y: -1.99630737	Z: -4.71038818
        Accel-X: -11.24023438	Y: 0.65429688	Z: 1.22741699	|  Gyro-X: 6.69921875	Y: -2.82623291	Z: -3.88793945
        Accel-X: -11.21582031	Y: 0.54321289	Z: 1.37084961	|  Gyro-X: 5.10665894	Y: -2.24304199	Z: -2.66921997
        Accel-X: -11.23901367	Y: 0.49133301	Z: 1.41357422	|  Gyro-X: 4.85992432	Y: -1.32339478	Z: -1.52526855
        Accel-X: -11.12487793	Y: 0.47912598	Z: 1.43615723	|  Gyro-X: 7.76840210	Y: -0.43365479	Z: -1.01684570
        Accel-X: -11.22253418	Y: 0.74829102	Z: 1.25244141	|  Gyro-X: 8.24691772	Y: -0.23925781	Z: -0.28411865
        Accel-X: -11.20300293	Y: 0.75988770	Z: 1.32263184	|  Gyro-X: 7.55157471	Y: -0.91964722	Z: -0.47103882
        
