        Accel-X: -10.76904297	Y: -2.22656250	Z: -1.39038086	|  Gyro-X: -3.99261475	Y: 5.14404297	Z: -5.30105591
        Accel-X: -10.76843262	Y: -1.79199219	Z: -1.69982910	|  Gyro-X: -0.81497192	Y: 6.37771606	Z: -5.86181641
        Accel-X: -10.93505859	Y: -2.34558105	Z: -1.65649414	|  Gyro-X: -3.42437744	Y: 5.35339355	Z: -7.27493286
        Accel-X: -10.86120605	Y: -2.38342285	Z: -1.52343750	|  Gyro-X: 4.20944214	Y: 3.11035156	Z: -8.20205688
        Accel-X: -10.52368164	Y: -1.84570312	Z: -1.59179688	|  Gyro-X: 1.64489746	Y: 3.42437744	Z: -6.79641724
        Accel-X: -10.88134766	Y: -2.18505859	Z: -1.67419434	|  Gyro-X: -8.17962646	Y: 4.68795776	Z: -5.33096313
        Accel-X: -10.94665527	Y: -2.65991211	Z: -1.53381348	|  Gyro-X: -11.52923584	Y: 3.88046265	Z: -4.59075928
        Accel-X: -10.92285156	Y: -2.52624512	Z: -1.50512695	|  Gyro-X: 1.02432251	Y: 4.61318970	Z: -5.53283691
        Accel-X: -10.77331543	Y: -1.82495117	Z: -1.96044922	|  Gyro-X: -1.24114990	Y: 4.62814331	Z: -5.04684448
        Accel-X: -10.77392578	Y: -2.03125000	Z: -1.78649902	|  Gyro-X: -11.82830811	Y: 3.49166870	Z: -4.06738281
        Accel-X: -10.75500488	Y: -2.72705078	Z: -1.72546387	|  Gyro-X: -15.00595093	Y: 2.75894165	Z: -3.62625122
        Accel-X: -10.71228027	Y: -2.20581055	Z: -1.83532715	|  Gyro-X: -1.70471191	Y: 2.74398804	Z: -4.34402466
        Accel-X: -10.70678711	Y: -1.97814941	Z: -1.83166504	|  Gyro-X: -3.02810669	Y: 2.31781006	Z: -4.88235474
        Accel-X: -10.73120117	Y: -2.23754883	Z: -1.53808594	|  Gyro-X: -6.19827271	Y: 1.77947998	Z: -4.75524902
        Accel-X: -10.64392090	Y: -2.27294922	Z: -1.61010742	|  Gyro-X: -3.44680786	Y: 2.54959106	Z: -4.91226196
        Accel-X: -10.75622559	Y: -2.04101562	Z: -1.82495117	|  Gyro-X: -2.63183594	Y: 3.00567627	Z: -5.17395020
        Accel-X: -10.76721191	Y: -2.08374023	Z: -1.81823730	|  Gyro-X: -5.42816162	Y: 1.97387695	Z: -4.97955322
        Accel-X: -10.63537598	Y: -2.04711914	Z: -1.54113770	|  Gyro-X: -8.83758545	Y: 0.74768066	Z: -3.89541626
        Accel-X: -10.66711426	Y: -2.43713379	Z: -1.69189453	|  Gyro-X: -6.99081421	Y: 1.92153931	Z: -4.46365356
        Accel-X: -10.67687988	Y: -2.15515137	Z: -1.79504395	|  Gyro-X: -3.68606567	Y: 2.25051880	Z: -5.04684448
        Accel-X: -10.78674316	Y: -2.12402344	Z: -1.73889160	|  Gyro-X: -6.04125977	Y: 1.68228149	Z: -4.50851440
        
