        Accel-X: -11.22497559	Y: 1.30676270	Z: 1.03698730	|  Gyro-X: 15.17044067	Y: -0.29907227	Z: -1.14395142
        Accel-X: -11.19812012	Y: 1.64550781	Z: 0.97595215	|  Gyro-X: 9.80957031	Y: 0.06729126	Z: 0.32150269
        Accel-X: -11.19140625	Y: 1.36291504	Z: 0.97106934	|  Gyro-X: 0.35140991	Y: 1.30096436	Z: 1.21871948
        Accel-X: -11.17309570	Y: 0.88684082	Z: 1.03088379	|  Gyro-X: 3.00567627	Y: 0.26916504	Z: -0.44860840
        Accel-X: -11.18591309	Y: 0.89843750	Z: 0.85388184	|  Gyro-X: 8.71047974	Y: 0.24673462	Z: -1.04675293
        Accel-X: -11.28173828	Y: 1.37390137	Z: 0.87768555	|  Gyro-X: 8.39645386	Y: -0.12710571	Z: -0.87478638
        Accel-X: -11.28234863	Y: 1.25915527	Z: 0.82702637	|  Gyro-X: -0.39627075	Y: -0.32897949	Z: -0.83740234
        Accel-X: -11.15844727	Y: 1.05407715	Z: 1.16577148	|  Gyro-X: -0.44113159	Y: -0.57571411	Z: -1.56265259
        Accel-X: -11.15417480	Y: 0.80993652	Z: 1.01196289	|  Gyro-X: 5.63751221	Y: -1.54769897	Z: -2.24304199
        Accel-X: -11.05895996	Y: 1.14257812	Z: 1.11755371	|  Gyro-X: 11.69372559	Y: -2.58697510	Z: -3.66363525
        Accel-X: -11.17553711	Y: 1.25976562	Z: 1.06018066	|  Gyro-X: 8.83010864	Y: -1.45050049	Z: -3.15521240
        Accel-X: -11.13342285	Y: 0.95520020	Z: 1.12487793	|  Gyro-X: 5.05432129	Y: -1.48040771	Z: -2.93838501
        Accel-X: -11.08154297	Y: 0.79528809	Z: 1.16577148	|  Gyro-X: 7.14035034	Y: -0.85983276	Z: -3.09539795
        Accel-X: -11.13464355	Y: 0.73608398	Z: 1.16455078	|  Gyro-X: 15.26763916	Y: -0.97946167	Z: -3.43185425
        Accel-X: -11.12304688	Y: 1.38427734	Z: 1.15783691	|  Gyro-X: 11.46194458	Y: -0.41870117	Z: -3.00567627
        Accel-X: -11.04187012	Y: 1.33117676	Z: 0.97656250	|  Gyro-X: -2.29537964	Y: 0.70281982	Z: -1.42059326
        Accel-X: -11.21398926	Y: 0.70312500	Z: 1.01135254	|  Gyro-X: -4.15710449	Y: 1.00936890	Z: -0.67291260
        Accel-X: -11.17675781	Y: 0.95214844	Z: 0.98449707	|  Gyro-X: 3.64120483	Y: 0.51589966	Z: -1.65237427
        Accel-X: -11.13769531	Y: 1.38916016	Z: 1.13647461	|  Gyro-X: 4.79263306	Y: -0.33645630	Z: -3.90289307
        Accel-X: -11.08825684	Y: 1.20483398	Z: 1.18164062	|  Gyro-X: 1.64489746	Y: -0.02990723	Z: -4.70291138
        Accel-X: -11.20422363	Y: 0.90393066	Z: 1.23291016	|  Gyro-X: 1.74209595	Y: 0.06729126	Z: -5.21133423
        Accel-X: -11.25061035	Y: 0.80139160	Z: 1.15417480	|  Gyro-X: 5.08422852	Y: 0.11962891	Z: -5.36834717
        Accel-X: -11.23229980	Y: 0.91369629	Z: 1.23474121	|  Gyro-X: 9.11422729	Y: -0.05981445	Z: -5.88424683
        Accel-X: -11.28906250	Y: 1.05224609	Z: 1.18408203	|  Gyro-X: 7.43942261	Y: 0.29907227	Z: -5.39077759
        Accel-X: -11.27929688	Y: 0.91125488	Z: 1.14135742	|  Gyro-X: 4.85244751	Y: -0.29159546	Z: -4.82254028
        Accel-X: -11.25732422	Y: 0.83557129	Z: 1.06079102	|  Gyro-X: 7.55905151	Y: -0.74020386	Z: -4.96459961
        Accel-X: -11.26586914	Y: 0.95458984	Z: 1.08825684	|  Gyro-X: 10.25817871	Y: -1.53274536	Z: -4.80758667
        Accel-X: -11.24023438	Y: 0.99914551	Z: 1.21765137	|  Gyro-X: 7.47680664	Y: -1.39068604	Z: -4.38140869
        Accel-X: -11.16516113	Y: 1.13342285	Z: 1.30126953	|  Gyro-X: 3.48419189	Y: -0.77758789	Z: -2.60192871
        Accel-X: -11.16333008	Y: 0.98999023	Z: 1.25183105	|  Gyro-X: 2.24304199	Y: -0.29159546	Z: -2.61688232
        Accel-X: -11.08093262	Y: 0.99914551	Z: 1.13281250	|  Gyro-X: 4.79263306	Y: -0.41122437	Z: -3.29727173
        Accel-X: -10.98327637	Y: 0.99975586	Z: 1.17126465	|  Gyro-X: 6.72912598	Y: -0.94207764	Z: -4.03747559
        Accel-X: -11.01684570	Y: 1.06262207	Z: 1.34460449	|  Gyro-X: 7.17025757	Y: -0.44860840	Z: -3.61129761
        Accel-X: -10.96069336	Y: 1.03942871	Z: 1.22436523	|  Gyro-X: 4.77020264	Y: 0.28411865	Z: -3.76083374
        Accel-X: -10.93566895	Y: 0.92468262	Z: 1.32629395	|  Gyro-X: 3.79821777	Y: 0.91217041	Z: -2.94586182
        
