        Accel-X: -8.51196289	Y: -4.65637207	Z: -5.33569336	|  Gyro-X: -47.00668335	Y: 240.03540039	Z: -48.89083862
        Accel-X: -19.99511719	Y: -4.88830566	Z: 2.34863281	|  Gyro-X: 5.39825439	Y: 207.27951050	Z: -14.83398438
        Accel-X: -8.40332031	Y: -2.36145020	Z: -4.13879395	|  Gyro-X: 15.82839966	Y: -71.29135132	Z: -1.21871948
        Accel-X: -5.74584961	Y: -3.36486816	Z: -4.96215820	|  Gyro-X: 21.00234985	Y: -80.79437256	Z: -27.20809937
        Accel-X: -12.63671875	Y: -4.39392090	Z: -7.03491211	|  Gyro-X: 6.28799438	Y: 44.03839111	Z: -15.26016235
        Accel-X: -7.62939453	Y: -4.60205078	Z: -6.43493652	|  Gyro-X: 18.17611694	Y: -28.01559448	Z: -27.83615112
        Accel-X: -7.52319336	Y: -4.19311523	Z: -7.44628906	|  Gyro-X: 8.31420898	Y: 25.25665283	Z: -12.38159180
        Accel-X: -9.08386230	Y: -4.28466797	Z: -7.82775879	|  Gyro-X: -0.62805176	Y: 11.58905029	Z: -9.27124023
        Accel-X: -8.17626953	Y: -4.53796387	Z: -6.72790527	|  Gyro-X: -2.04116821	Y: -10.81146240	Z: -7.49923706
        Accel-X: -9.08630371	Y: -4.56359863	Z: -5.68054199	|  Gyro-X: 7.50671387	Y: -6.19827271	Z: -4.76272583
        Accel-X: -8.96728516	Y: -4.00573730	Z: -5.89782715	|  Gyro-X: 28.68103027	Y: -14.22836304	Z: -7.05062866
        Accel-X: -9.17419434	Y: -3.89587402	Z: -5.44189453	|  Gyro-X: 31.21566772	Y: -14.02648926	Z: -8.77029419
        Accel-X: -8.51257324	Y: -3.87512207	Z: -4.76989746	|  Gyro-X: 21.37619019	Y: -14.85641479	Z: -10.57220459
        Accel-X: -8.37341309	Y: -4.09118652	Z: -5.37963867	|  Gyro-X: 6.74407959	Y: -8.13476562	Z: -7.69363403
        Accel-X: -8.25988770	Y: -5.14709473	Z: -4.73999023	|  Gyro-X: 0.71029663	Y: -7.74597168	Z: -5.95901489
        Accel-X: -8.22082520	Y: -4.33593750	Z: -4.45800781	|  Gyro-X: 7.01324463	Y: -2.98324585	Z: -2.41500854
        Accel-X: -8.42041016	Y: -3.79760742	Z: -4.31945801	|  Gyro-X: 6.02630615	Y: 1.28601074	Z: -0.14205933
        Accel-X: -8.36608887	Y: -4.14489746	Z: -4.03686523	|  Gyro-X: 7.46185303	Y: -1.43554688	Z: -2.77389526
        Accel-X: -8.43688965	Y: -4.12597656	Z: -4.19433594	|  Gyro-X: 17.17422485	Y: 1.67480469	Z: -3.70101929
