        Accel-X: -11.26159668	Y: 1.60766602	Z: 1.46972656	|  Gyro-X: 14.01153564	Y: -1.04675293	Z: -7.25250244
        Accel-X: -10.96679688	Y: 1.92260742	Z: 1.82006836	|  Gyro-X: 9.20394897	Y: -1.86920166	Z: -7.56652832
        Accel-X: -10.93811035	Y: 1.57348633	Z: 1.75231934	|  Gyro-X: 1.57012939	Y: -0.05981445	Z: -6.10107422
        Accel-X: -11.12792969	Y: 1.50634766	Z: 1.84509277	|  Gyro-X: 2.76641846	Y: 1.24862671	Z: -4.03747559
        Accel-X: -11.15722656	Y: 1.53930664	Z: 1.42089844	|  Gyro-X: 9.39086914	Y: 1.17385864	Z: -3.58139038
        Accel-X: -11.12243652	Y: 1.81213379	Z: 1.54968262	|  Gyro-X: 12.29934692	Y: 0.17196655	Z: -3.86550903
        Accel-X: -10.97839355	Y: 2.07641602	Z: 1.55517578	|  Gyro-X: 5.73471069	Y: -0.06729126	Z: -3.82812500
        Accel-X: -11.02416992	Y: 1.59240723	Z: 1.73522949	|  Gyro-X: -0.26168823	Y: 1.21871948	Z: -2.48229980
        Accel-X: -11.09558105	Y: 1.58020020	Z: 1.63269043	|  Gyro-X: 1.86172485	Y: 0.74768066	Z: -2.54211426
        Accel-X: -11.13098145	Y: 1.48986816	Z: 1.71081543	|  Gyro-X: 5.25619507	Y: -0.02243042	Z: -3.88046265
        
