        Accel-X: -1.68823242	Y: 2.23937988	Z: 9.98779297	|  Gyro-X: 5.70480347	Y: -2.54959106	Z: -5.79452515
        Accel-X: -1.73645020	Y: 2.26440430	Z: 9.81872559	|  Gyro-X: 3.47671509	Y: 0.13458252	Z: -3.47671509
        Accel-X: -1.71813965	Y: 2.36755371	Z: 9.94262695	|  Gyro-X: 7.86560059	Y: 0.41122437	Z: -5.48049927
        Accel-X: -1.74865723	Y: 2.15759277	Z: 9.87792969	|  Gyro-X: 11.17034912	Y: -0.03738403	Z: -7.20764160
        Accel-X: -1.87255859	Y: 2.59704590	Z: 10.22338867	|  Gyro-X: 17.42095947	Y: 0.56823730	Z: -5.95901489
        Accel-X: -1.77490234	Y: 2.57873535	Z: 10.15930176	|  Gyro-X: 33.47366333	Y: 2.11593628	Z: -9.98153687
        Accel-X: -1.66625977	Y: 2.77893066	Z: 10.37658691	|  Gyro-X: 52.12081909	Y: 1.29348755	Z: -15.21530151
        Accel-X: -1.76391602	Y: 2.87536621	Z: 10.05676270	|  Gyro-X: 46.17675781	Y: 2.27294922	Z: -13.92929077
        Accel-X: -1.76757812	Y: 2.88085938	Z: 9.81872559	|  Gyro-X: 19.82849121	Y: 4.96459961	Z: -7.82821655
        Accel-X: -1.51550293	Y: 2.57873535	Z: 9.53491211	|  Gyro-X: -3.73092651	Y: 7.36465454	Z: -4.26177979
        Accel-X: -1.70837402	Y: 2.39074707	Z: 9.23156738	|  Gyro-X: 0.51589966	Y: 6.82632446	Z: -7.88803101
        Accel-X: -1.65954590	Y: 2.03552246	Z: 9.27001953	|  Gyro-X: 0.84487915	Y: 4.91226196	Z: -7.19268799
        Accel-X: -1.69677734	Y: 2.08496094	Z: 9.11071777	|  Gyro-X: -0.08972168	Y: 4.75524902	Z: -2.86361694
        Accel-X: -1.76269531	Y: 2.37426758	Z: 9.05456543	|  Gyro-X: -0.08972168	Y: 4.26177979	Z: -0.55328369
        Accel-X: -1.88598633	Y: 2.35656738	Z: 9.23522949	|  Gyro-X: 2.54959106	Y: 2.14584351	Z: -1.18133545
        Accel-X: -1.89086914	Y: 2.55920410	Z: 9.39941406	|  Gyro-X: 1.69723511	Y: 0.10467529	Z: 0.08224487
        Accel-X: -1.87805176	Y: 2.72094727	Z: 9.29687500	|  Gyro-X: 0.94955444	Y: 1.39816284	Z: 1.35330200
        Accel-X: -1.94763184	Y: 3.03710938	Z: 9.47082520	|  Gyro-X: 5.19638062	Y: 0.25421143	Z: -1.74209595
        Accel-X: -1.95068359	Y: 2.85339355	Z: 9.63684082	|  Gyro-X: 1.40563965	Y: -2.22061157	Z: -3.61877441
        Accel-X: -1.87377930	Y: 2.84118652	Z: 9.72167969	|  Gyro-X: -7.00576782	Y: -1.90658569	Z: -1.60751343
        Accel-X: -1.78405762	Y: 2.62634277	Z: 9.76806641	|  Gyro-X: -8.65814209	Y: -0.45608521	Z: -1.13647461
        Accel-X: -1.74499512	Y: 2.57202148	Z: 9.92736816	|  Gyro-X: -0.14205933	Y: -0.90469360	Z: -4.32159424
        Accel-X: -1.76330566	Y: 2.54943848	Z: 9.98291016	|  Gyro-X: 4.11972046	Y: -0.12710571	Z: -4.47113037
        Accel-X: -1.73522949	Y: 2.50671387	Z: 9.86389160	|  Gyro-X: 2.75894165	Y: 2.24304199	Z: -2.19070435
        Accel-X: -1.68884277	Y: 2.58972168	Z: 9.79248047	|  Gyro-X: 5.63751221	Y: 2.83370972	Z: -3.09539795
        
