        Accel-X: -12.76062012	Y: 0.07751465	Z: 2.07885742	|  Gyro-X: -12.19467163	Y: 3.14773560	Z: -20.73318481
        Accel-X: -12.73864746	Y: -0.70434570	Z: 2.06848145	|  Gyro-X: -1.19628906	Y: 2.70660400	Z: -19.19296265
        Accel-X: -12.51831055	Y: -0.28320312	Z: 1.66625977	|  Gyro-X: 20.63598633	Y: 2.03369141	Z: -16.20971680
        Accel-X: -12.20764160	Y: 0.40588379	Z: 1.59545898	|  Gyro-X: 20.61355591	Y: -0.19439697	Z: -13.16665649
        Accel-X: -11.56372070	Y: 0.20446777	Z: 1.23352051	|  Gyro-X: 6.20574951	Y: -2.20565796	Z: -10.70678711
        Accel-X: -11.26403809	Y: -0.35095215	Z: 0.99304199	|  Gyro-X: 2.58697510	Y: -3.28979492	Z: -7.10296631
        Accel-X: -11.07360840	Y: -0.04516602	Z: 0.84533691	|  Gyro-X: 11.82830811	Y: -4.71038818	Z: -4.80010986
        Accel-X: -11.03820801	Y: 0.40466309	Z: 0.77392578	|  Gyro-X: 18.80416870	Y: -5.27862549	Z: -3.45428467
        Accel-X: -10.98022461	Y: 0.62255859	Z: 0.98754883	|  Gyro-X: 18.04901123	Y: -5.62255859	Z: -1.52526855
        Accel-X: -10.86425781	Y: 0.66711426	Z: 1.30737305	|  Gyro-X: 14.57229614	Y: -4.78515625	Z: 0.83740234
        Accel-X: -11.00646973	Y: 0.48828125	Z: 1.35131836	|  Gyro-X: 7.76092529	Y: -2.77389526	Z: 2.10845947
        Accel-X: -11.18591309	Y: 0.54138184	Z: 1.27014160	|  Gyro-X: 6.84875488	Y: -2.33276367	Z: 3.25241089
        Accel-X: -11.30981445	Y: 0.45349121	Z: 1.28723145	|  Gyro-X: 8.37402344	Y: -1.42059326	Z: 2.68417358
        Accel-X: -11.31408691	Y: 0.61340332	Z: 1.36901855	|  Gyro-X: 11.27502441	Y: -1.26358032	Z: 2.04116821
        Accel-X: -11.22558594	Y: 0.87829590	Z: 1.48803711	|  Gyro-X: 10.05630493	Y: -0.83740234	Z: 1.00936890
        Accel-X: -11.13098145	Y: 0.54443359	Z: 1.38183594	|  Gyro-X: 3.79074097	Y: -0.52337646	Z: -0.05233765
        Accel-X: -11.21948242	Y: 0.45532227	Z: 1.39648438	|  Gyro-X: 2.57202148	Y: -0.18692017	Z: -0.33645630
        Accel-X: -11.18469238	Y: 0.37963867	Z: 1.36962891	|  Gyro-X: 8.47869873	Y: -0.06729126	Z: -2.13088989
        Accel-X: -11.16760254	Y: 0.56335449	Z: 1.46667480	|  Gyro-X: 7.96279907	Y: -0.06729126	Z: -2.96829224
        Accel-X: -11.08947754	Y: 0.64880371	Z: 1.45629883	|  Gyro-X: 1.86172485	Y: -0.44860840	Z: -3.37951660
        Accel-X: -11.04736328	Y: 0.41137695	Z: 1.47277832	|  Gyro-X: -2.04116821	Y: -0.47851562	Z: -2.96081543
        Accel-X: -11.11938477	Y: 0.12207031	Z: 1.42944336	|  Gyro-X: 0.59066772	Y: 0.48599243	Z: -1.90658569
        Accel-X: -11.21582031	Y: 0.15869141	Z: 1.42944336	|  Gyro-X: 5.15151978	Y: -0.15701294	Z: -1.93649292
        Accel-X: -11.21887207	Y: 0.19409180	Z: 1.47338867	|  Gyro-X: 7.26745605	Y: 0.58319092	Z: -0.98693848
        Accel-X: -11.21643066	Y: 0.50048828	Z: 1.49658203	|  Gyro-X: 5.45059204	Y: 0.74768066	Z: -0.09719849
        Accel-X: -11.26037598	Y: 0.33203125	Z: 1.52160645	|  Gyro-X: 1.33087158	Y: 1.34582520	Z: 0.89721680
        Accel-X: -11.08886719	Y: 0.22216797	Z: 1.46972656	|  Gyro-X: 3.10287476	Y: 0.61309814	Z: 0.29159546
        Accel-X: -11.10839844	Y: 0.43090820	Z: 1.56982422	|  Gyro-X: 5.47302246	Y: 0.40374756	Z: -0.11215210
        Accel-X: -11.16210938	Y: 0.43701172	Z: 1.54785156	|  Gyro-X: 3.83560181	Y: 0.38879395	Z: 0.24673462
        Accel-X: -11.05895996	Y: 0.51025391	Z: 1.49963379	|  Gyro-X: 2.05612183	Y: 1.54769897	Z: 0.20935059
        Accel-X: -11.06018066	Y: 0.41198730	Z: 1.50939941	|  Gyro-X: 1.60003662	Y: 1.81686401	Z: 0.46356201
        Accel-X: -11.05834961	Y: 0.44250488	Z: 1.31896973	|  Gyro-X: 4.14962769	Y: 1.74957275	Z: -0.35140991
        Accel-X: -11.04003906	Y: 0.62683105	Z: 1.44042969	|  Gyro-X: 5.56274414	Y: 1.82434082	Z: -1.20376587
        Accel-X: -11.16394043	Y: 0.73486328	Z: 1.42028809	|  Gyro-X: 3.39447021	Y: 1.69723511	Z: -0.91217041
        Accel-X: -11.16088867	Y: 0.49072266	Z: 1.52465820	|  Gyro-X: 0.02990723	Y: 1.75704956	Z: -1.54022217
        Accel-X: -11.17370605	Y: 0.48217773	Z: 1.57714844	|  Gyro-X: 3.40194702	Y: 1.83929443	Z: -2.80380249
        Accel-X: -11.17919922	Y: 0.47729492	Z: 1.44409180	|  Gyro-X: 4.11224365	Y: 1.94396973	Z: -2.84118652
        
