        Accel-X: -11.46911621	Y: -1.45874023	Z: 0.08789062	|  Gyro-X: -1.62994385	Y: 3.55895996	Z: -0.17944336
        Accel-X: -11.36962891	Y: -1.23352051	Z: -0.06896973	|  Gyro-X: 6.07116699	Y: 0.40374756	Z: 0.33645630
        Accel-X: -11.24572754	Y: -0.80871582	Z: 0.11840820	|  Gyro-X: 5.26367188	Y: -1.28601074	Z: 1.89163208
        Accel-X: -11.05163574	Y: -0.98022461	Z: 0.30456543	|  Gyro-X: -0.92712402	Y: -2.33276367	Z: 3.96270752
        Accel-X: -11.05163574	Y: -1.04248047	Z: 0.10437012	|  Gyro-X: -0.71029663	Y: -0.32897949	Z: 5.42068481
        Accel-X: -10.96069336	Y: -1.13952637	Z: -0.03906250	|  Gyro-X: -0.00747681	Y: -1.73461914	Z: 5.39825439
        Accel-X: -10.93872070	Y: -0.67810059	Z: 0.11291504	|  Gyro-X: 3.60382080	Y: 0.49346924	Z: 5.03189087
        Accel-X: -11.02050781	Y: -0.27038574	Z: 0.24841309	|  Gyro-X: -0.32897949	Y: 0.26168823	Z: 4.45617676
        Accel-X: -10.97167969	Y: -0.78552246	Z: 0.18188477	|  Gyro-X: -4.47860718	Y: -1.24114990	Z: 3.07296753
        Accel-X: -10.88745117	Y: -0.80383301	Z: 0.22460938	|  Gyro-X: -0.18692017	Y: -1.03927612	Z: 1.65985107
        Accel-X: -10.81115723	Y: -0.72509766	Z: 0.22399902	|  Gyro-X: 2.37014771	Y: -1.47293091	Z: -1.03927612
        Accel-X: -10.89294434	Y: -0.39916992	Z: 0.53833008	|  Gyro-X: 1.10656738	Y: -1.68975830	Z: -2.38510132
        Accel-X: -10.78063965	Y: -0.70617676	Z: 0.68664551	|  Gyro-X: -3.88046265	Y: -2.19818115	Z: -3.07296753
        Accel-X: -10.93688965	Y: -0.83435059	Z: 0.62683105	|  Gyro-X: -1.62994385	Y: 1.23367310	Z: -3.39447021
        Accel-X: -11.17004395	Y: -0.73242188	Z: 0.48889160	|  Gyro-X: 3.06549072	Y: 3.95523071	Z: -3.91784668
        Accel-X: -11.04797363	Y: -0.72998047	Z: 0.44738770	|  Gyro-X: 4.59075928	Y: 2.42248535	Z: -5.06927490
        Accel-X: -11.12121582	Y: -0.57617188	Z: 0.52429199	|  Gyro-X: 2.35519409	Y: 4.16458130	Z: -5.02441406
        Accel-X: -11.16943359	Y: -0.89721680	Z: 0.43273926	|  Gyro-X: -3.00567627	Y: 3.94027710	Z: -4.59075928
        Accel-X: -11.13830566	Y: -0.93627930	Z: 0.29846191	|  Gyro-X: 0.65048218	Y: 3.61129761	Z: -4.76272583
        Accel-X: -11.15417480	Y: -0.93994141	Z: 0.21362305	|  Gyro-X: 5.82443237	Y: 3.66363525	Z: -4.99450684
        Accel-X: -11.11694336	Y: -0.65612793	Z: 0.30151367	|  Gyro-X: 6.88613892	Y: 2.56454468	Z: -5.17395020
        Accel-X: -10.84533691	Y: -0.65368652	Z: 0.26977539	|  Gyro-X: 0.07476807	Y: 1.57012939	Z: -5.10665894
        Accel-X: -10.98449707	Y: -1.08581543	Z: 0.32653809	|  Gyro-X: -1.15142822	Y: 3.40194702	Z: -5.06927490
        Accel-X: -10.94726562	Y: -0.79467773	Z: 0.23376465	|  Gyro-X: 5.11413574	Y: 2.62435913	Z: -5.11413574
        Accel-X: -10.93444824	Y: -0.76721191	Z: 0.35278320	|  Gyro-X: 5.75714111	Y: 1.46545410	Z: -4.85992432
        Accel-X: -11.09313965	Y: -0.57861328	Z: 0.35888672	|  Gyro-X: 4.84497070	Y: 4.11972046	Z: -4.94964600
        Accel-X: -11.11022949	Y: -0.78369141	Z: 0.28320312	|  Gyro-X: -1.78695679	Y: 2.96081543	Z: -4.50103760
        Accel-X: -11.06384277	Y: -0.98632812	Z: 0.31982422	|  Gyro-X: -1.02432251	Y: 2.93090820	Z: -4.23187256
        Accel-X: -11.03332520	Y: -0.99243164	Z: 0.36071777	|  Gyro-X: 2.72155762	Y: 3.11035156	Z: -4.05242920
        Accel-X: -11.15173340	Y: -0.81787109	Z: 0.57312012	|  Gyro-X: 4.32159424	Y: 2.93838501	Z: -4.65057373
        Accel-X: -11.19262695	Y: -0.75561523	Z: 0.49926758	|  Gyro-X: 3.86550903	Y: 3.57391357	Z: -4.07485962
        
