        Accel-X: -1.29394531	Y: 1.35925293	Z: 10.00000000	|  Gyro-X: 13.51806641	Y: -3.62625122	Z: -5.98892212
        Accel-X: -1.29455566	Y: 1.33605957	Z: 10.03173828	|  Gyro-X: 12.83020020	Y: -3.13278198	Z: -5.18890381
        Accel-X: -1.27929688	Y: 1.61499023	Z: 10.00427246	|  Gyro-X: 6.98333740	Y: -1.81686401	Z: -4.86740112
        Accel-X: -1.29760742	Y: 1.50878906	Z: 10.06408691	|  Gyro-X: 3.47671509	Y: -2.16827393	Z: -7.16278076
        Accel-X: -1.28417969	Y: 1.33911133	Z: 10.12756348	|  Gyro-X: 0.07476807	Y: -1.20376587	Z: -6.58706665
        Accel-X: -1.14135742	Y: 1.51672363	Z: 10.11413574	|  Gyro-X: 0.71777344	Y: -0.79254150	Z: -6.98333740
        Accel-X: -1.15539551	Y: 1.63085938	Z: 9.88037109	|  Gyro-X: 3.72344971	Y: -1.81686401	Z: -11.35726929
        Accel-X: -1.13952637	Y: 1.82067871	Z: 9.92919922	|  Gyro-X: -0.02990723	Y: -0.88226318	Z: -11.26754761
        Accel-X: -1.03637695	Y: 2.21374512	Z: 9.81689453	|  Gyro-X: -0.72525024	Y: -0.90469360	Z: -11.82083130
        Accel-X: -1.12670898	Y: 2.80578613	Z: 9.54650879	|  Gyro-X: 2.68417358	Y: -1.62994385	Z: -15.37231445
        Accel-X: -0.87829590	Y: 3.03588867	Z: 9.53613281	|  Gyro-X: 4.26925659	Y: -2.81875610	Z: -19.33502197
        Accel-X: -0.78308105	Y: 3.53759766	Z: 9.58801270	|  Gyro-X: 8.56094360	Y: -4.71038818	Z: -25.50338745
        Accel-X: -0.63171387	Y: 3.60534668	Z: 9.42016602	|  Gyro-X: 10.84884644	Y: -6.66183472	Z: -32.82318115
        Accel-X: -0.54504395	Y: 3.23974609	Z: 9.33898926	|  Gyro-X: 3.11782837	Y: -7.57400513	Z: -39.36538696
        Accel-X: -0.35766602	Y: 3.14392090	Z: 9.43603516	|  Gyro-X: 5.48049927	Y: -9.39086914	Z: -46.88705444
        Accel-X: -0.05249023	Y: 2.56958008	Z: 9.77661133	|  Gyro-X: 8.59832764	Y: -12.29187012	Z: -53.93020630
        Accel-X: -0.10498047	Y: 2.16308594	Z: 9.83947754	|  Gyro-X: 10.16098022	Y: -13.64517212	Z: -54.48348999
        Accel-X: 0.17944336	Y: 2.08251953	Z: 9.95300293	|  Gyro-X: 13.06198120	Y: -15.72372437	Z: -54.64797974
        Accel-X: 0.31433105	Y: 2.25341797	Z: 10.24047852	|  Gyro-X: 22.06405640	Y: -17.15179443	Z: -58.47610474
        Accel-X: 0.26733398	Y: 2.15270996	Z: 10.37353516	|  Gyro-X: 20.89767456	Y: -14.49752808	Z: -57.77328491
        Accel-X: 0.19836426	Y: 2.41210938	Z: 10.51696777	|  Gyro-X: 15.46951294	Y: -11.67877197	Z: -55.99380493
        Accel-X: 0.28625488	Y: 2.30712891	Z: 10.48522949	|  Gyro-X: 13.09188843	Y: -10.40023804	Z: -60.03875732
        Accel-X: 0.18798828	Y: 2.71911621	Z: 10.24597168	|  Gyro-X: 8.88992310	Y: -8.53851318	Z: -61.75094604
        Accel-X: 0.35034180	Y: 2.55493164	Z: 10.31066895	|  Gyro-X: 5.74966431	Y: -8.29925537	Z: -64.64447021
        Accel-X: 0.24047852	Y: 2.29187012	Z: 10.10375977	|  Gyro-X: 7.15530396	Y: -7.83569336	Z: -65.91552734
        Accel-X: 0.30456543	Y: 2.53295898	Z: 10.02075195	|  Gyro-X: 12.44888306	Y: -7.49923706	Z: -68.30062866
        Accel-X: 0.13000488	Y: 2.41088867	Z: 9.70092773	|  Gyro-X: 13.30123901	Y: -7.49923706	Z: -71.09695435
        Accel-X: 0.17211914	Y: 2.24670410	Z: 9.80285645	|  Gyro-X: 9.39834595	Y: -8.28430176	Z: -71.70257568
        Accel-X: 0.10620117	Y: 2.22351074	Z: 9.60998535	|  Gyro-X: 11.16287231	Y: -8.97964478	Z: -74.85778809
        Accel-X: 0.14282227	Y: 2.14599609	Z: 9.58435059	|  Gyro-X: 13.36105347	Y: -11.46942139	Z: -78.20739746
        Accel-X: 0.26306152	Y: 1.74682617	Z: 9.57031250	|  Gyro-X: 13.06198120	Y: -13.15917969	Z: -79.54574585
        Accel-X: 0.26123047	Y: 1.69799805	Z: 9.68933105	|  Gyro-X: 9.79461670	Y: -13.59283447	Z: -78.28964233
        Accel-X: 0.18676758	Y: 1.45324707	Z: 9.69787598	|  Gyro-X: 3.24493408	Y: -12.90496826	Z: -76.24099731
        
