        Accel-X: -1.84143066	Y: 1.01745605	Z: 10.06835938	|  Gyro-X: -3.57391357	Y: -1.00189209	Z: -8.05252075
        Accel-X: -1.72729492	Y: 1.02600098	Z: 9.89807129	|  Gyro-X: -8.29177856	Y: -1.25610352	Z: -5.37582397
        Accel-X: -1.95678711	Y: 0.88745117	Z: 9.82482910	|  Gyro-X: -13.08441162	Y: 1.89163208	Z: -0.95703125
        Accel-X: -1.95983887	Y: 1.30493164	Z: 9.96520996	|  Gyro-X: -3.88793945	Y: 0.03738403	Z: -3.37951660
        Accel-X: -1.95495605	Y: 0.98632812	Z: 9.85046387	|  Gyro-X: -4.71786499	Y: -2.71408081	Z: -6.01135254
        Accel-X: -2.04284668	Y: 1.33117676	Z: 9.73876953	|  Gyro-X: -13.79470825	Y: -3.73092651	Z: -2.63931274
        Accel-X: -1.99951172	Y: 1.02294922	Z: 9.74243164	|  Gyro-X: -12.11990356	Y: -2.94586182	Z: -5.24124146
        Accel-X: -1.84326172	Y: 0.79833984	Z: 9.96093750	|  Gyro-X: 18.75183105	Y: -3.75335693	Z: -10.45257568
        Accel-X: -2.02148438	Y: 1.07421875	Z: 9.95178223	|  Gyro-X: 34.28863525	Y: -2.57949829	Z: -12.41149902
        Accel-X: -1.78161621	Y: 1.00463867	Z: 9.97802734	|  Gyro-X: 32.65121460	Y: -1.14395142	Z: -8.88244629
        Accel-X: -1.68579102	Y: 1.37145996	Z: 9.99023438	|  Gyro-X: 16.72561646	Y: 2.57202148	Z: -1.75704956
        Accel-X: -1.61865234	Y: 1.54663086	Z: 10.21606445	|  Gyro-X: 6.26556396	Y: 4.17205811	Z: -0.71777344
        Accel-X: -1.54846191	Y: 1.10351562	Z: 10.12878418	|  Gyro-X: 7.49176025	Y: 3.57391357	Z: -3.23745728
        Accel-X: -1.77673340	Y: 1.46972656	Z: 9.78332520	|  Gyro-X: 10.01892090	Y: 3.72344971	Z: -2.32528687
        Accel-X: -1.76391602	Y: 1.67297363	Z: 9.81933594	|  Gyro-X: 7.34970093	Y: 2.88604736	Z: -3.91036987
        Accel-X: -1.72851562	Y: 1.26342773	Z: 9.89379883	|  Gyro-X: -1.98883057	Y: 1.89910889	Z: -2.33276367
        Accel-X: -1.71997070	Y: 1.45690918	Z: 9.74060059	|  Gyro-X: -7.19268799	Y: 1.49536133	Z: 0.26916504
        Accel-X: -1.87072754	Y: 1.67053223	Z: 9.66308594	|  Gyro-X: 2.40005493	Y: 2.28790283	Z: -3.40194702
        Accel-X: -1.73828125	Y: 1.52404785	Z: 9.87731934	|  Gyro-X: 12.97225952	Y: 0.26168823	Z: -6.90856934
        Accel-X: -1.83837891	Y: 1.52770996	Z: 9.78942871	|  Gyro-X: 8.08990479	Y: 1.75704956	Z: -3.82064819
