        Accel-X: -7.30224609	Y: 4.00451660	Z: 2.18444824	|  Gyro-X: 58.15460205	Y: -15.94055176	Z: 21.70516968
        Accel-X: -7.83020020	Y: 2.76611328	Z: 2.88574219	|  Gyro-X: 44.14306641	Y: -15.20034790	Z: 11.76101685
        Accel-X: -9.67407227	Y: -0.70129395	Z: 1.28784180	|  Gyro-X: 60.08361816	Y: -5.68984985	Z: -5.94406128
        Accel-X: -10.23132324	Y: -0.95458984	Z: 0.56518555	|  Gyro-X: 80.04669189	Y: 1.12152100	Z: -22.56500244
        Accel-X: -10.08911133	Y: -2.19238281	Z: 0.38330078	|  Gyro-X: 65.72113037	Y: 2.16827393	Z: -22.94631958
        Accel-X: -9.77172852	Y: -4.06555176	Z: -0.00610352	|  Gyro-X: 60.21072388	Y: 8.35906982	Z: -22.72949219
        Accel-X: -10.15808105	Y: -3.63708496	Z: -0.57312012	|  Gyro-X: 42.97668457	Y: 13.71246338	Z: -20.53131104
        Accel-X: -10.29663086	Y: -4.67407227	Z: -1.12060547	|  Gyro-X: 7.01324463	Y: 12.94982910	Z: -12.71057129
        Accel-X: -9.85046387	Y: -5.04638672	Z: -1.27136230	|  Gyro-X: -7.37213135	Y: 9.09927368	Z: -5.38330078
        Accel-X: -9.76196289	Y: -5.17089844	Z: -1.30065918	|  Gyro-X: 9.36843872	Y: 8.00765991	Z: -4.74777222
        Accel-X: -10.07934570	Y: -4.72595215	Z: -1.63757324	|  Gyro-X: 40.50186157	Y: 9.00207520	Z: -6.89361572
        Accel-X: -10.22521973	Y: -4.52392578	Z: -2.00256348	|  Gyro-X: 32.44186401	Y: 8.51608276	Z: -6.64688110
        Accel-X: -9.78271484	Y: -4.90234375	Z: -1.83959961	|  Gyro-X: 23.45474243	Y: 7.62634277	Z: -6.24313354
        Accel-X: -9.70886230	Y: -4.34204102	Z: -1.51672363	|  Gyro-X: 15.26763916	Y: 6.05621338	Z: -6.06369019
        Accel-X: -9.85412598	Y: -5.16418457	Z: -1.53686523	|  Gyro-X: 1.42807007	Y: 4.16458130	Z: -3.15521240
        Accel-X: -9.83032227	Y: -4.86450195	Z: -1.90368652	|  Gyro-X: 5.36834717	Y: 1.55517578	Z: -1.75704956
        Accel-X: -9.69970703	Y: -4.49951172	Z: -1.31042480	|  Gyro-X: 12.49374390	Y: -2.01126099	Z: -1.94396973
        Accel-X: -9.82971191	Y: -4.79675293	Z: -0.95825195	|  Gyro-X: 11.21520996	Y: -2.50473022	Z: -2.48229980
        Accel-X: -9.85290527	Y: -5.30029297	Z: -1.09985352	|  Gyro-X: 15.45455933	Y: -0.72525024	Z: -3.85055542
        Accel-X: -9.73571777	Y: -4.64721680	Z: -1.12121582	|  Gyro-X: 18.08639526	Y: -1.09161377	Z: -3.32717896
        Accel-X: -9.78820801	Y: -4.87548828	Z: -0.82946777	|  Gyro-X: 9.54040527	Y: -2.70660400	Z: -1.79443359
        Accel-X: -9.86206055	Y: -5.10070801	Z: -0.75683594	|  Gyro-X: 9.57031250	Y: -2.34771729	Z: -0.53085327
        Accel-X: -9.91027832	Y: -4.82604980	Z: -0.67626953	|  Gyro-X: 13.83209229	Y: -1.61499023	Z: -1.59255981
        Accel-X: -9.71862793	Y: -4.94567871	Z: -0.59204102	|  Gyro-X: 10.57220459	Y: -1.53274536	Z: -1.89910889
        Accel-X: -9.65515137	Y: -5.26977539	Z: -0.35339355	|  Gyro-X: 5.89920044	Y: -0.29907227	Z: -0.80001831
        Accel-X: -9.64843750	Y: -5.04455566	Z: -0.52001953	|  Gyro-X: 10.86380005	Y: 2.24304199	Z: -1.06918335
        Accel-X: -9.80773926	Y: -4.68139648	Z: -0.63842773	|  Gyro-X: 8.04504395	Y: 2.99819946	Z: -1.33834839
        Accel-X: -9.86938477	Y: -4.79003906	Z: -0.61157227	|  Gyro-X: 2.00378418	Y: 1.94396973	Z: -0.09719849
        Accel-X: -9.74060059	Y: -5.27832031	Z: -0.63354492	|  Gyro-X: 2.57202148	Y: 1.71218872	Z: -0.16448975
        Accel-X: -9.77294922	Y: -5.01220703	Z: -0.85021973	|  Gyro-X: 14.01153564	Y: 3.16268921	Z: -2.37762451
        Accel-X: -9.87854004	Y: -4.75524902	Z: -0.81176758	|  Gyro-X: 15.90316772	Y: 3.98513794	Z: -2.78137207
        Accel-X: -9.73266602	Y: -4.94323730	Z: -0.67382812	|  Gyro-X: 6.25808716	Y: 2.73651123	Z: -1.00936890
        
