        Accel-X: -10.80993652	Y: 0.92041016	Z: -0.68420410	|  Gyro-X: -6.18331909	Y: -0.19439697	Z: -4.14962769
        Accel-X: -11.11145020	Y: 1.87194824	Z: -0.99243164	|  Gyro-X: -0.85235596	Y: -0.40374756	Z: -5.93658447
        Accel-X: -10.88867188	Y: 1.55212402	Z: -0.81298828	|  Gyro-X: -13.30123901	Y: -3.31970215	Z: -6.28799438
        Accel-X: -10.95947266	Y: 0.96496582	Z: -0.56945801	|  Gyro-X: -18.13873291	Y: -2.81127930	Z: -6.95343018
        Accel-X: -11.03942871	Y: 0.98144531	Z: -0.69335938	|  Gyro-X: -14.95361328	Y: -1.28601074	Z: -6.86370850
        Accel-X: -11.44714355	Y: 1.30432129	Z: -0.74096680	|  Gyro-X: -14.70687866	Y: -0.39627075	Z: -5.33096313
        Accel-X: -11.46972656	Y: 1.19689941	Z: -0.40344238	|  Gyro-X: -19.73876953	Y: -2.11593628	Z: -5.13656616
        Accel-X: -11.19323730	Y: 0.78491211	Z: -0.37353516	|  Gyro-X: -15.49194336	Y: -2.81875610	Z: -5.10665894
        Accel-X: -11.12426758	Y: 1.06140137	Z: -0.47607422	|  Gyro-X: -10.71426392	Y: -2.40005493	Z: -6.51977539
        Accel-X: -10.97412109	Y: 1.07177734	Z: -0.48095703	|  Gyro-X: -12.68066406	Y: -3.17764282	Z: -5.98892212
        Accel-X: -11.01379395	Y: 1.11328125	Z: -0.28991699	|  Gyro-X: -17.17422485	Y: -1.60751343	Z: -4.05990601
        Accel-X: -11.05407715	Y: 1.16027832	Z: -0.48583984	|  Gyro-X: -17.89947510	Y: 0.14205933	Z: -1.73461914
        Accel-X: -11.11633301	Y: 0.94909668	Z: -0.44616699	|  Gyro-X: -16.85272217	Y: 1.25610352	Z: -0.41870117
        Accel-X: -11.09008789	Y: 1.16882324	Z: -0.70861816	|  Gyro-X: -8.19458008	Y: 1.03927612	Z: -2.54211426
        Accel-X: -11.07482910	Y: 1.59667969	Z: -0.97473145	|  Gyro-X: -9.27871704	Y: 0.15701294	Z: -3.00567627
        Accel-X: -10.93933105	Y: 1.20178223	Z: -0.71716309	|  Gyro-X: -13.16665649	Y: -1.23367310	Z: -4.38140869
        Accel-X: -11.03210449	Y: 1.10290527	Z: -0.52307129	|  Gyro-X: -11.08062744	Y: -1.81686401	Z: -6.96838379
        Accel-X: -11.01501465	Y: 1.00952148	Z: -0.53894043	|  Gyro-X: -8.94226074	Y: -2.29537964	Z: -7.36465454
        Accel-X: -11.17370605	Y: 0.98449707	Z: -0.47668457	|  Gyro-X: -6.22070312	Y: -2.45986938	Z: -7.61886597
        Accel-X: -11.02661133	Y: 1.00341797	Z: -0.56518555	|  Gyro-X: -4.41131592	Y: -3.06549072	Z: -8.62823486
        Accel-X: -11.02966309	Y: 1.12365723	Z: -0.50598145	|  Gyro-X: -6.83380127	Y: -2.33276367	Z: -7.36465454
        Accel-X: -10.99426270	Y: 0.98388672	Z: -0.27404785	|  Gyro-X: -10.34790039	Y: -1.24114990	Z: -5.48049927
        Accel-X: -11.17980957	Y: 0.85571289	Z: -0.16235352	|  Gyro-X: -8.75534058	Y: -0.90469360	Z: -4.63562012
        Accel-X: -11.13586426	Y: 1.08947754	Z: -0.27832031	|  Gyro-X: -7.39456177	Y: -0.32897949	Z: -5.31600952
        Accel-X: -11.13769531	Y: 1.01867676	Z: -0.71716309	|  Gyro-X: -10.80398560	Y: -0.23925781	Z: -5.74966431
        Accel-X: -11.19384766	Y: 0.91552734	Z: -0.64697266	|  Gyro-X: -12.53112793	Y: -0.15701294	Z: -4.85992432
        Accel-X: -11.21765137	Y: 0.77331543	Z: -0.17272949	|  Gyro-X: -7.34222412	Y: -1.42059326	Z: -3.41690063
        Accel-X: -11.18041992	Y: 1.07360840	Z: -0.32836914	|  Gyro-X: -3.82064819	Y: -1.26358032	Z: -3.09539795
        Accel-X: -11.26525879	Y: 1.23046875	Z: -0.59082031	|  Gyro-X: -5.22628784	Y: -0.61309814	Z: -2.54959106
        Accel-X: -11.22009277	Y: 1.27502441	Z: -0.89050293	|  Gyro-X: -7.61138916	Y: -0.97946167	Z: -2.40753174
        Accel-X: -11.20788574	Y: 1.22741699	Z: -0.53527832	|  Gyro-X: -8.77029419	Y: -1.83181763	Z: -1.91406250
        Accel-X: -11.12182617	Y: 1.16271973	Z: -0.26916504	|  Gyro-X: -6.60949707	Y: -2.96829224	Z: -2.54211426
        Accel-X: -11.10778809	Y: 1.35375977	Z: -0.43762207	|  Gyro-X: -4.96459961	Y: -3.49914551	Z: -4.43374634
        Accel-X: -11.04797363	Y: 1.34094238	Z: -0.53039551	|  Gyro-X: -5.58517456	Y: -3.12530518	Z: -5.84686279
        Accel-X: -10.95458984	Y: 0.93566895	Z: -0.38513184	|  Gyro-X: -4.87487793	Y: -3.15521240	Z: -6.00387573
        Accel-X: -10.97229004	Y: 1.17065430	Z: -0.29479980	|  Gyro-X: -2.76641846	Y: -3.10287476	Z: -7.13287354
        Accel-X: -11.20117188	Y: 1.27075195	Z: -0.50109863	|  Gyro-X: -4.98703003	Y: -1.74957275	Z: -4.86740112
        Accel-X: -11.11328125	Y: 1.16149902	Z: -0.48156738	|  Gyro-X: -4.09729004	Y: -1.57012939	Z: -4.52346802
        
