        Accel-X: -9.17236328	Y: -6.39892578	Z: -2.90649414	|  Gyro-X: 9.83947754	Y: -10.62454224	Z: -8.64318848
        Accel-X: -8.65173340	Y: -6.41723633	Z: -2.65502930	|  Gyro-X: 8.80767822	Y: -17.15179443	Z: -6.40014648
        Accel-X: -8.81225586	Y: -6.61621094	Z: -2.72766113	|  Gyro-X: 13.13674927	Y: -12.76290894	Z: -5.71975708
        Accel-X: -8.45214844	Y: -5.63049316	Z: -2.56652832	|  Gyro-X: 15.64895630	Y: -16.88262939	Z: -3.45428467
        Accel-X: -7.95959473	Y: -5.33752441	Z: -2.08312988	|  Gyro-X: 12.90496826	Y: -18.84902954	Z: -3.34960938
        Accel-X: -8.31176758	Y: -5.35461426	Z: -2.06359863	|  Gyro-X: 9.27871704	Y: -9.21142578	Z: -4.11972046
        Accel-X: -8.95263672	Y: -6.00280762	Z: -1.74682617	|  Gyro-X: 16.12747192	Y: -6.93847656	Z: -10.56472778
        Accel-X: -9.12475586	Y: -5.49194336	Z: -2.06726074	|  Gyro-X: 31.38763428	Y: -0.71777344	Z: -11.85073853
        Accel-X: -9.07470703	Y: -4.67041016	Z: -2.05200195	|  Gyro-X: 27.89596558	Y: 0.96450806	Z: -10.34042358
        Accel-X: -8.94592285	Y: -5.08850098	Z: -1.92810059	|  Gyro-X: 16.47888184	Y: 3.46923828	Z: -9.94415283
        Accel-X: -9.35058594	Y: -5.34790039	Z: -2.07763672	|  Gyro-X: 15.31250000	Y: 6.93847656	Z: -9.14413452
        Accel-X: -8.64196777	Y: -4.78515625	Z: -2.09594727	|  Gyro-X: 12.95730591	Y: -1.29348755	Z: -6.28799438
        Accel-X: -8.55285645	Y: -5.38574219	Z: -1.63940430	|  Gyro-X: 8.50112915	Y: -0.05233765	Z: -8.18710327
        Accel-X: -8.81042480	Y: -5.27832031	Z: -1.90063477	|  Gyro-X: 7.52914429	Y: 5.47302246	Z: -6.76651001
        Accel-X: -8.74206543	Y: -5.28808594	Z: -1.84936523	|  Gyro-X: 3.77578735	Y: 4.20944214	Z: -6.13098145
        Accel-X: -8.63952637	Y: -5.45837402	Z: -1.94580078	|  Gyro-X: 3.79074097	Y: 7.82821655	Z: -7.70111084
        Accel-X: -8.61145020	Y: -5.68481445	Z: -1.99279785	|  Gyro-X: 4.14962769	Y: 11.44699097	Z: -7.25250244
        Accel-X: -8.51928711	Y: -5.37780762	Z: -2.05627441	|  Gyro-X: 3.78326416	Y: 15.31250000	Z: -7.45437622
        Accel-X: -8.68347168	Y: -5.74401855	Z: -2.28881836	|  Gyro-X: 4.05242920	Y: 19.71633911	Z: -8.77777100
        
