        Accel-X: -1.17553711	Y: 0.26184082	Z: 10.32775879	|  Gyro-X: 1.14395142	Y: 2.91595459	Z: -1.27105713
        Accel-X: -1.28417969	Y: 0.18249512	Z: 10.12878418	|  Gyro-X: 6.63192749	Y: 3.15521240	Z: -2.10845947
        Accel-X: -1.35070801	Y: 0.45593262	Z: 10.06042480	|  Gyro-X: 8.18710327	Y: 2.94586182	Z: -0.78506470
        Accel-X: -1.32446289	Y: 0.46020508	Z: 9.98596191	|  Gyro-X: 7.16278076	Y: 1.98135376	Z: -1.19628906
        Accel-X: -1.40686035	Y: 0.31311035	Z: 9.78271484	|  Gyro-X: 5.15151978	Y: 1.93649292	Z: -1.75704956
        Accel-X: -1.36657715	Y: 0.46997070	Z: 9.86511230	|  Gyro-X: 3.08792114	Y: 2.33276367	Z: -1.50283813
        Accel-X: -1.35620117	Y: 0.32653809	Z: 9.88952637	|  Gyro-X: 3.57391357	Y: 2.40753174	Z: -0.64300537
        Accel-X: -1.32934570	Y: 0.34362793	Z: 9.86267090	|  Gyro-X: 9.17404175	Y: 1.01684570	Z: -2.54211426
        Accel-X: -1.47949219	Y: 0.36926270	Z: 9.79248047	|  Gyro-X: 9.77218628	Y: 0.26168823	Z: -3.54400635
        Accel-X: -1.42333984	Y: 0.42358398	Z: 9.94567871	|  Gyro-X: 5.00946045	Y: 0.82244873	Z: -0.72525024
        Accel-X: -1.28662109	Y: 0.56213379	Z: 9.91821289	|  Gyro-X: 1.01684570	Y: 1.89910889	Z: 2.24304199
        Accel-X: -1.28479004	Y: 0.61340332	Z: 10.03051758	|  Gyro-X: 5.71975708	Y: 0.77758789	Z: 0.08972168
        Accel-X: -1.40869141	Y: 0.56396484	Z: 10.08789062	|  Gyro-X: 9.10675049	Y: -0.14953613	Z: -1.57012939
        Accel-X: -1.31103516	Y: 0.67016602	Z: 10.05126953	|  Gyro-X: 4.49356079	Y: 1.26358032	Z: 1.73461914
        Accel-X: -1.35864258	Y: 0.77209473	Z: 10.07812500	|  Gyro-X: 3.48419189	Y: 1.51031494	Z: 2.31033325
        Accel-X: -1.30432129	Y: 0.63354492	Z: 10.16845703	|  Gyro-X: 7.40203857	Y: 1.30844116	Z: -0.22430420
        Accel-X: -1.24145508	Y: 0.72631836	Z: 10.14282227	|  Gyro-X: 3.34960938	Y: 1.41311646	Z: 0.90469360
        Accel-X: -1.22375488	Y: 0.72753906	Z: 10.18798828	|  Gyro-X: 1.09161377	Y: 2.53463745	Z: 1.34582520
        Accel-X: -1.25122070	Y: 0.79833984	Z: 10.10742188	|  Gyro-X: 3.55148315	Y: 1.39068604	Z: -0.53833008
        Accel-X: -1.37207031	Y: 0.75927734	Z: 10.15686035	|  Gyro-X: 4.74777222	Y: 1.53274536	Z: -1.25610352
        Accel-X: -1.27868652	Y: 0.63171387	Z: 10.12634277	|  Gyro-X: 2.17575073	Y: 2.27294922	Z: -0.13458252
        Accel-X: -1.16577148	Y: 0.68969727	Z: 10.13732910	|  Gyro-X: 1.82434082	Y: 2.78137207	Z: 0.51589966
        Accel-X: -1.26831055	Y: 0.70251465	Z: 10.11108398	|  Gyro-X: 4.77020264	Y: 2.53463745	Z: -0.91964722
        Accel-X: -1.27136230	Y: 0.71838379	Z: 10.00915527	|  Gyro-X: 3.93280029	Y: 2.59445190	Z: -0.88226318
        Accel-X: -1.26159668	Y: 0.74218750	Z: 10.08605957	|  Gyro-X: 0.83740234	Y: 3.98513794	Z: -1.02432251
        Accel-X: -1.32751465	Y: 0.64697266	Z: 10.02258301	|  Gyro-X: 3.94775391	Y: 2.37014771	Z: -3.26736450
        Accel-X: -1.33911133	Y: 0.57128906	Z: 9.98901367	|  Gyro-X: 2.75894165	Y: 2.40005493	Z: -3.01315308
        Accel-X: -1.31713867	Y: 0.53405762	Z: 10.02441406	|  Gyro-X: -1.09909058	Y: 3.70849609	Z: -0.26168823
        Accel-X: -1.31164551	Y: 0.69946289	Z: 10.07385254	|  Gyro-X: 2.41500854	Y: 3.17016602	Z: -1.11404419
        Accel-X: -1.39587402	Y: 0.68420410	Z: 10.02380371	|  Gyro-X: 8.41140747	Y: 2.20565796	Z: -3.89541626
        Accel-X: -1.32507324	Y: 0.64392090	Z: 9.97009277	|  Gyro-X: 5.77209473	Y: 2.79632568	Z: -3.52157593
        Accel-X: -1.30493164	Y: 0.56518555	Z: 9.96582031	|  Gyro-X: 0.52337646	Y: 4.38888550	Z: -0.88973999
        Accel-X: -1.31408691	Y: 0.53649902	Z: 9.93469238	|  Gyro-X: 2.28790283	Y: 3.11782837	Z: -0.75515747
        Accel-X: -1.32385254	Y: 0.79467773	Z: 9.87182617	|  Gyro-X: 3.71597290	Y: 2.33276367	Z: -1.99630737
        Accel-X: -1.38854980	Y: 0.72448730	Z: 9.88647461	|  Gyro-X: 3.35708618	Y: 1.65237427	Z: -2.07855225
        
