        Accel-X: -0.76782227	Y: 0.19714355	Z: 10.00244141	|  Gyro-X: 2.51220703	Y: 0.75515747	Z: -1.93649292
        Accel-X: -0.75256348	Y: 0.27221680	Z: 10.04577637	|  Gyro-X: 4.79263306	Y: 0.68038940	Z: -1.42059326
        Accel-X: -0.81237793	Y: 0.65124512	Z: 10.10253906	|  Gyro-X: 4.31411743	Y: 0.66543579	Z: -1.15142822
        Accel-X: -0.80017090	Y: 0.40161133	Z: 10.31127930	|  Gyro-X: 3.20007324	Y: 0.85983276	Z: -2.51220703
        Accel-X: -0.78186035	Y: 0.35705566	Z: 10.19775391	|  Gyro-X: 1.79443359	Y: 1.88415527	Z: -2.29537964
        Accel-X: -0.73120117	Y: 0.36499023	Z: 9.99389648	|  Gyro-X: 2.07855225	Y: 2.12341309	Z: -2.37014771
        Accel-X: -0.76599121	Y: 0.27893066	Z: 10.00854492	|  Gyro-X: 2.04864502	Y: 2.28790283	Z: -1.27853394
        Accel-X: -0.80078125	Y: 0.24902344	Z: 9.92126465	|  Gyro-X: 3.55895996	Y: 2.05612183	Z: -0.14953613
        Accel-X: -0.86853027	Y: 0.32104492	Z: 9.74304199	|  Gyro-X: 5.35339355	Y: 1.21871948	Z: -0.82992554
        Accel-X: -0.71777344	Y: 0.41198730	Z: 9.71496582	|  Gyro-X: 3.91784668	Y: 0.16448975	Z: -1.65985107
        Accel-X: -0.73669434	Y: 0.29724121	Z: 9.88281250	|  Gyro-X: -0.14953613	Y: 0.71029663	Z: -0.27664185
        Accel-X: -0.73730469	Y: 0.37658691	Z: 9.88281250	|  Gyro-X: -1.31591797	Y: 1.03927612	Z: 0.82244873
        Accel-X: -0.77514648	Y: 0.32226562	Z: 9.83581543	|  Gyro-X: 1.08413696	Y: 1.19628906	Z: 0.11962891
        Accel-X: -0.78430176	Y: 0.25634766	Z: 10.19348145	|  Gyro-X: 3.08792114	Y: -0.79254150	Z: -1.26358032
        Accel-X: -0.65551758	Y: 0.20446777	Z: 10.20324707	|  Gyro-X: 4.97955322	Y: -0.11962891	Z: -0.65048218
        Accel-X: -0.61218262	Y: 0.32653809	Z: 10.10070801	|  Gyro-X: 4.66552734	Y: 0.09719849	Z: 0.01495361
        
