        Accel-X: -11.05041504	Y: 1.23718262	Z: -1.34338379	|  Gyro-X: -11.78344727	Y: -1.21871948	Z: -8.02261353
        Accel-X: -10.84228516	Y: 0.89416504	Z: -1.21765137	|  Gyro-X: -16.82281494	Y: -1.27853394	Z: -9.40582275
        Accel-X: -10.91857910	Y: 0.73791504	Z: -1.41540527	|  Gyro-X: -13.42086792	Y: 0.62057495	Z: -10.21331787
        Accel-X: -10.83557129	Y: 0.71289062	Z: -1.53076172	|  Gyro-X: -7.68615723	Y: 1.00936890	Z: -10.06378174
        Accel-X: -10.91186523	Y: 0.85632324	Z: -1.49047852	|  Gyro-X: -8.21701050	Y: 1.42807007	Z: -9.02450562
        Accel-X: -10.84350586	Y: 0.87097168	Z: -1.45629883	|  Gyro-X: -12.36663818	Y: 1.79443359	Z: -7.88055420
        Accel-X: -10.88745117	Y: 0.64575195	Z: -1.56066895	|  Gyro-X: -15.19287109	Y: 1.96640015	Z: -6.73660278
        Accel-X: -10.86791992	Y: 0.47363281	Z: -1.48986816	|  Gyro-X: -10.66192627	Y: 2.27294922	Z: -5.11413574
        Accel-X: -11.04736328	Y: 0.48217773	Z: -1.56311035	|  Gyro-X: -6.36276245	Y: 2.97576904	Z: -3.88046265
        Accel-X: -11.24450684	Y: 0.70312500	Z: -1.53808594	|  Gyro-X: -4.00756836	Y: 3.70849609	Z: -4.11972046
        Accel-X: -11.32141113	Y: 0.88195801	Z: -1.47766113	|  Gyro-X: -9.82452393	Y: 2.54959106	Z: -4.55337524
        Accel-X: -11.31713867	Y: 0.60058594	Z: -1.45324707	|  Gyro-X: -14.40032959	Y: 1.57760620	Z: -4.07485962
        Accel-X: -11.23107910	Y: 0.41687012	Z: -1.47338867	|  Gyro-X: -13.03207397	Y: 1.21124268	Z: -3.88046265
        Accel-X: -11.42211914	Y: 0.79467773	Z: -1.70593262	|  Gyro-X: -7.97775269	Y: 1.03179932	Z: -3.79821777
        Accel-X: -11.24572754	Y: 0.76354980	Z: -1.74804688	|  Gyro-X: -10.28808594	Y: -0.53085327	Z: -3.69354248
        Accel-X: -11.04431152	Y: 0.59875488	Z: -1.45507812	|  Gyro-X: -11.33483887	Y: -1.36825562	Z: -4.08233643
        Accel-X: -11.05834961	Y: 0.69274902	Z: -1.50329590	|  Gyro-X: -8.10485840	Y: -1.27853394	Z: -4.42626953
        Accel-X: -10.82397461	Y: 0.89904785	Z: -1.60522461	|  Gyro-X: -9.15908813	Y: -0.65048218	Z: -5.19638062
        Accel-X: -10.92163086	Y: 0.83801270	Z: -1.69555664	|  Gyro-X: -12.67318726	Y: -0.00747681	Z: -5.11413574
        Accel-X: -10.81359863	Y: 0.52795410	Z: -1.60217285	|  Gyro-X: -15.17791748	Y: 0.06729126	Z: -4.85992432
        Accel-X: -10.84594727	Y: 0.47180176	Z: -1.49719238	|  Gyro-X: -12.91992188	Y: 0.27664185	Z: -4.70291138
        Accel-X: -11.01928711	Y: 0.63293457	Z: -1.48010254	|  Gyro-X: -4.91973877	Y: 0.67291260	Z: -4.24682617
        Accel-X: -11.10168457	Y: 0.89416504	Z: -1.47399902	|  Gyro-X: -2.67669678	Y: 0.76263428	Z: -4.38140869
        Accel-X: -11.12121582	Y: 1.01684570	Z: -1.61315918	|  Gyro-X: -6.88613892	Y: 0.83740234	Z: -4.48608398
        Accel-X: -11.14318848	Y: 0.67138672	Z: -1.66931152	|  Gyro-X: -14.93118286	Y: 0.85235596	Z: -3.89541626
        Accel-X: -11.12121582	Y: 0.44555664	Z: -1.50756836	|  Gyro-X: -12.74047852	Y: 0.94207764	Z: -3.58886719
        Accel-X: -11.17919922	Y: 0.40893555	Z: -1.40075684	|  Gyro-X: -6.66931152	Y: 0.79254150	Z: -3.66363525
        Accel-X: -11.17980957	Y: 0.92773438	Z: -1.70166016	|  Gyro-X: -4.00756836	Y: 0.89721680	Z: -3.34213257
        Accel-X: -11.00158691	Y: 0.77453613	Z: -1.66076660	|  Gyro-X: -10.55725098	Y: 0.06729126	Z: -2.45239258
        Accel-X: -10.94604492	Y: 0.63781738	Z: -1.65771484	|  Gyro-X: -10.79650879	Y: 0.53085327	Z: -2.63183594
        Accel-X: -11.08215332	Y: 0.79284668	Z: -1.76086426	|  Gyro-X: -10.78903198	Y: 1.11404419	Z: -2.40753174
        Accel-X: -11.03820801	Y: 0.75378418	Z: -1.72546387	|  Gyro-X: -10.86380005	Y: 1.09909058	Z: -0.91964722
        Accel-X: -10.97778320	Y: 0.93017578	Z: -1.59545898	|  Gyro-X: -8.76281738	Y: 0.34393311	Z: -1.27853394
        Accel-X: -10.98815918	Y: 1.05285645	Z: -1.52648926	|  Gyro-X: -9.44320679	Y: -0.12710571	Z: -1.92901611
        
