        Accel-X: -2.25646973	Y: 0.45898438	Z: 10.15441895	|  Gyro-X: 9.95162964	Y: -2.63183594	Z: -5.82443237
        Accel-X: -2.23754883	Y: 0.47119141	Z: 10.02685547	|  Gyro-X: 11.44699097	Y: -2.98324585	Z: -4.87487793
        Accel-X: -2.18444824	Y: 0.71655273	Z: 10.10986328	|  Gyro-X: 8.24691772	Y: -2.27294922	Z: -3.16268921
        Accel-X: -2.04650879	Y: 0.66650391	Z: 10.20629883	|  Gyro-X: 3.45428467	Y: -1.41311646	Z: -1.76452637
        Accel-X: -2.08618164	Y: 0.86975098	Z: 10.19775391	|  Gyro-X: 1.86920166	Y: -0.42617798	Z: -1.33834839
        Accel-X: -2.17407227	Y: 1.00524902	Z: 10.17517090	|  Gyro-X: -1.56265259	Y: 0.23178101	Z: -0.70281982
        Accel-X: -2.06542969	Y: 0.89477539	Z: 10.06958008	|  Gyro-X: -1.63742065	Y: 0.80749512	Z: -1.05422974
        Accel-X: -2.17041016	Y: 1.03515625	Z: 9.95666504	|  Gyro-X: 1.82434082	Y: 0.96450806	Z: -2.30285645
        Accel-X: -2.17224121	Y: 0.98937988	Z: 9.94384766	|  Gyro-X: 5.02441406	Y: 0.32897949	Z: -3.49914551
        Accel-X: -2.01416016	Y: 0.85937500	Z: 9.99938965	|  Gyro-X: 5.94406128	Y: 0.20935059	Z: -3.20755005
        Accel-X: -1.96716309	Y: 1.05529785	Z: 9.97741699	|  Gyro-X: 5.22628784	Y: 0.70281982	Z: -2.81875610
        Accel-X: -2.07946777	Y: 0.93566895	Z: 10.03906250	|  Gyro-X: 6.07116699	Y: 0.80749512	Z: -3.46923828
        Accel-X: -2.03552246	Y: 0.95336914	Z: 9.87548828	|  Gyro-X: 5.74218750	Y: 0.76263428	Z: -3.43185425
        Accel-X: -1.98974609	Y: 0.80566406	Z: 9.85473633	|  Gyro-X: 1.42059326	Y: 1.32339478	Z: -2.07107544
