        Accel-X: -11.12976074	Y: -0.67626953	Z: 0.47180176	|  Gyro-X: 5.95901489	Y: -1.68228149	Z: -4.14215088
        Accel-X: -11.05102539	Y: -0.47668457	Z: 0.57189941	|  Gyro-X: 6.71417236	Y: -1.40563965	Z: -3.83560181
        Accel-X: -11.19140625	Y: -0.97900391	Z: 0.50476074	|  Gyro-X: 12.30682373	Y: -0.53085327	Z: -3.15521240
        Accel-X: -11.34155273	Y: -0.56091309	Z: 0.67077637	|  Gyro-X: 13.30123901	Y: 0.39627075	Z: -1.37573242
        Accel-X: -11.27319336	Y: -0.37719727	Z: 0.54016113	|  Gyro-X: 7.00576782	Y: 0.68786621	Z: -0.11215210
        Accel-X: -11.25000000	Y: -0.39123535	Z: 0.54992676	|  Gyro-X: 4.59823608	Y: 0.23925781	Z: 0.35888672
        Accel-X: -11.17858887	Y: -0.41015625	Z: 0.69152832	|  Gyro-X: 4.47860718	Y: 0.23925781	Z: -0.05233765
        Accel-X: -11.30676270	Y: -0.47058105	Z: 0.44616699	|  Gyro-X: 4.87487793	Y: 0.22430420	Z: 0.13458252
        Accel-X: -11.23718262	Y: -0.77819824	Z: 0.67932129	|  Gyro-X: 8.71795654	Y: -0.94207764	Z: 0.71029663
        Accel-X: -11.29943848	Y: -0.34423828	Z: 0.79956055	|  Gyro-X: 8.58337402	Y: -0.01495361	Z: 1.46545410
        Accel-X: -11.28662109	Y: -0.41809082	Z: 0.87463379	|  Gyro-X: 4.84497070	Y: 0.29907227	Z: 2.04116821
        Accel-X: -11.33544922	Y: -0.58837891	Z: 0.80200195	|  Gyro-X: 5.00946045	Y: 0.68786621	Z: 2.00378418
        Accel-X: -11.31530762	Y: -0.58654785	Z: 0.66223145	|  Gyro-X: 5.07675171	Y: 0.33645630	Z: 2.00378418
        Accel-X: -11.30920410	Y: -0.28625488	Z: 0.60302734	|  Gyro-X: 6.22817993	Y: 0.41122437	Z: 2.26547241
        Accel-X: -11.15905762	Y: -0.19348145	Z: 0.65307617	|  Gyro-X: 2.68417358	Y: 0.16448975	Z: 0.97946167
        Accel-X: -11.22192383	Y: -0.40344238	Z: 0.61828613	|  Gyro-X: 3.55148315	Y: -0.05233765	Z: -0.65795898
        Accel-X: -11.09375000	Y: -0.44372559	Z: 0.62866211	|  Gyro-X: 6.49734497	Y: -0.71029663	Z: -2.15332031
        Accel-X: -11.16027832	Y: -0.43090820	Z: 0.60974121	|  Gyro-X: 8.88244629	Y: -0.00747681	Z: -1.83181763
        Accel-X: -11.21520996	Y: -0.21728516	Z: 0.70922852	|  Gyro-X: 6.91604614	Y: 0.88973999	Z: -1.75704956
        Accel-X: -11.16333008	Y: -0.12451172	Z: 0.63232422	|  Gyro-X: 0.52337646	Y: 0.62057495	Z: -3.00567627
        Accel-X: -11.14807129	Y: -0.54687500	Z: 0.51208496	|  Gyro-X: -0.81497192	Y: -0.85983276	Z: -3.37203979
        Accel-X: -11.21032715	Y: -0.58593750	Z: 0.65979004	|  Gyro-X: 2.74398804	Y: -0.88226318	Z: -3.07296753
        Accel-X: -11.14990234	Y: -0.38635254	Z: 0.81298828	|  Gyro-X: 4.38140869	Y: -0.28411865	Z: -2.86361694
        Accel-X: -11.13342285	Y: -0.38757324	Z: 0.82824707	|  Gyro-X: 2.79632568	Y: 0.32897949	Z: -1.81686401
        
