        Accel-X: -11.06445312	Y: 0.07568359	Z: -0.12817383	|  Gyro-X: 0.75515747	Y: -12.32925415	Z: -13.09188843
        Accel-X: -11.24084473	Y: 0.48095703	Z: -0.68298340	|  Gyro-X: 3.42437744	Y: -11.14791870	Z: -12.99468994
        Accel-X: -11.06201172	Y: 0.67260742	Z: -0.62561035	|  Gyro-X: 0.26916504	Y: -9.22637939	Z: -11.57409668
        Accel-X: -10.74401855	Y: 0.26794434	Z: -0.37109375	|  Gyro-X: -1.03927612	Y: -7.48428345	Z: -10.51239014
        Accel-X: -10.73852539	Y: 0.58044434	Z: -0.49377441	|  Gyro-X: -2.34024048	Y: -5.56274414	Z: -10.10864258
        Accel-X: -10.92773438	Y: 0.56701660	Z: -0.34118652	|  Gyro-X: -5.95153809	Y: -3.89541626	Z: -7.43942261
        Accel-X: -10.95703125	Y: 0.34545898	Z: -0.13610840	|  Gyro-X: -6.27304077	Y: -2.57202148	Z: -5.27114868
        Accel-X: -10.81298828	Y: 0.23559570	Z: -0.08728027	|  Gyro-X: -0.30654907	Y: -0.24673462	Z: -6.07864380
        Accel-X: -11.19262695	Y: 0.71594238	Z: -0.26489258	|  Gyro-X: 0.27664185	Y: 1.08413696	Z: -6.64688110
        Accel-X: -11.16699219	Y: 0.67199707	Z: -0.32287598	|  Gyro-X: -5.45806885	Y: 1.15142822	Z: -6.65435791
        Accel-X: -11.10290527	Y: 0.23864746	Z: -0.47241211	|  Gyro-X: -9.36843872	Y: 1.55517578	Z: -5.57769775
        Accel-X: -11.14440918	Y: 0.25573730	Z: -0.47973633	|  Gyro-X: -3.20007324	Y: 1.45050049	Z: -5.17395020
        Accel-X: -11.29150391	Y: 0.71472168	Z: -0.65979004	|  Gyro-X: -4.03747559	Y: 1.11404419	Z: -4.29916382
        Accel-X: -11.23962402	Y: 0.55358887	Z: -0.72570801	|  Gyro-X: -8.71795654	Y: 1.06918335	Z: -2.47482300
        Accel-X: -11.10595703	Y: 0.60119629	Z: -0.57495117	|  Gyro-X: -8.17214966	Y: 1.03179932	Z: -2.62435913
        Accel-X: -11.12243652	Y: 0.46691895	Z: -0.82336426	|  Gyro-X: -8.26187134	Y: 0.71029663	Z: -2.60940552
        Accel-X: -11.15295410	Y: 0.69580078	Z: -0.65429688	|  Gyro-X: -9.03945923	Y: 0.34393311	Z: -2.17575073
        Accel-X: -11.20666504	Y: 0.96618652	Z: -0.52124023	|  Gyro-X: -10.80398560	Y: -0.02990723	Z: -2.00378418
        Accel-X: -11.07604980	Y: 0.83862305	Z: -0.46325684	|  Gyro-X: -13.74984741	Y: 0.05981445	Z: -3.00567627
        Accel-X: -11.09008789	Y: 0.53344727	Z: -0.50231934	|  Gyro-X: -11.70867920	Y: 0.24673462	Z: -4.14962769
        Accel-X: -10.98022461	Y: 0.63354492	Z: -0.68237305	|  Gyro-X: -6.93847656	Y: -0.16448975	Z: -5.22628784
        Accel-X: -11.01379395	Y: 0.70251465	Z: -0.49926758	|  Gyro-X: -6.44500732	Y: 0.50094604	Z: -5.21133423
        Accel-X: -11.13342285	Y: 0.52429199	Z: -0.64636230	|  Gyro-X: -6.36276245	Y: 0.80749512	Z: -4.62066650
        Accel-X: -11.14562988	Y: 0.70739746	Z: -0.61340332	|  Gyro-X: -2.65426636	Y: 0.79254150	Z: -5.21881104
        Accel-X: -11.04248047	Y: 0.83068848	Z: -0.68969727	|  Gyro-X: -6.63940430	Y: 0.04486084	Z: -4.94964600
        Accel-X: -11.03027344	Y: 0.44921875	Z: -0.42846680	|  Gyro-X: -11.36474609	Y: 0.49346924	Z: -4.63562012
        Accel-X: -11.02905273	Y: 0.48339844	Z: -0.54260254	|  Gyro-X: -7.47680664	Y: 0.94207764	Z: -6.33285522
        Accel-X: -11.11389160	Y: 0.71960449	Z: -0.60241699	|  Gyro-X: -6.05621338	Y: 1.60751343	Z: -6.28051758
        Accel-X: -11.06567383	Y: 0.49804688	Z: -0.61462402	|  Gyro-X: -6.22817993	Y: 1.06170654	Z: -6.40762329
        Accel-X: -11.22131348	Y: 0.84899902	Z: -0.78796387	|  Gyro-X: -6.54220581	Y: 0.99441528	Z: -7.17025757
        Accel-X: -11.37268066	Y: 0.69030762	Z: -0.65002441	|  Gyro-X: -10.35537720	Y: 1.48788452	Z: -5.80947876
        Accel-X: -11.11022949	Y: 0.38696289	Z: -0.76721191	|  Gyro-X: -8.25439453	Y: 0.56823730	Z: -6.45996094
        Accel-X: -11.24267578	Y: 0.46508789	Z: -0.77392578	|  Gyro-X: -7.48428345	Y: 0.45608521	Z: -6.82632446
        Accel-X: -11.45385742	Y: 0.60424805	Z: -0.59265137	|  Gyro-X: -8.65066528	Y: -0.27664185	Z: -6.33285522
        Accel-X: -11.37390137	Y: 0.43090820	Z: -0.62255859	|  Gyro-X: -9.53292847	Y: -0.93460083	Z: -5.46554565
        Accel-X: -11.37268066	Y: 0.35278320	Z: -0.56762695	|  Gyro-X: -7.25250244	Y: -1.05422974	Z: -5.00198364
        Accel-X: -11.23168945	Y: 0.49499512	Z: -0.55114746	|  Gyro-X: -6.61697388	Y: -1.14395142	Z: -4.11224365
        
