        Accel-X: -11.27746582	Y: -4.47387695	Z: 0.99060059	|  Gyro-X: 35.52978516	Y: 20.20980835	Z: -48.52447510
        Accel-X: -11.76452637	Y: -6.64428711	Z: 0.76171875	|  Gyro-X: 23.29025269	Y: 20.78552246	Z: -42.25143433
        Accel-X: -11.42333984	Y: -6.69250488	Z: 0.58898926	|  Gyro-X: 29.93713379	Y: 22.44537354	Z: -34.44564819
        Accel-X: -11.09375000	Y: -5.84655762	Z: -0.27404785	|  Gyro-X: 23.08837891	Y: 22.56500244	Z: -19.32006836
        Accel-X: -10.60424805	Y: -5.04577637	Z: -0.24536133	|  Gyro-X: -2.00378418	Y: 19.61914062	Z: -2.90100098
        Accel-X: -10.86730957	Y: -5.32226562	Z: -0.53833008	|  Gyro-X: -15.97793579	Y: 17.78732300	Z: 6.34033203
        Accel-X: -10.77697754	Y: -5.22094727	Z: -0.86364746	|  Gyro-X: 8.47869873	Y: 10.61706543	Z: 5.74966431
        Accel-X: -10.48522949	Y: -3.97277832	Z: -0.62744141	|  Gyro-X: 26.58004761	Y: 5.70480347	Z: 3.76083374
        Accel-X: -10.05737305	Y: -2.65991211	Z: -0.19775391	|  Gyro-X: 13.57788086	Y: 2.52716064	Z: 8.44879150
        Accel-X: -10.02075195	Y: -3.17321777	Z: 0.06713867	|  Gyro-X: -3.82812500	Y: 0.09719849	Z: 9.66751099
        Accel-X: -10.27770996	Y: -3.45275879	Z: 0.23620605	|  Gyro-X: 4.24682617	Y: -0.50842285	Z: 5.21881104
        Accel-X: -10.02014160	Y: -2.91748047	Z: 0.52124023	|  Gyro-X: 19.59671021	Y: -1.98883057	Z: -0.62805176
        Accel-X: -10.10498047	Y: -2.51525879	Z: 0.32775879	|  Gyro-X: 16.80038452	Y: -1.45050049	Z: -5.77957153
        Accel-X: -10.16357422	Y: -3.31420898	Z: 0.61889648	|  Gyro-X: 11.58905029	Y: -1.01684570	Z: -8.77777100
        Accel-X: -9.79736328	Y: -3.22570801	Z: 1.07360840	|  Gyro-X: 9.80957031	Y: 0.92712402	Z: -9.58526611
        Accel-X: -9.91943359	Y: -3.17749023	Z: 0.77270508	|  Gyro-X: -0.50842285	Y: 4.85244751	Z: -6.73660278
        Accel-X: -10.40527344	Y: -4.37072754	Z: 0.42907715	|  Gyro-X: -8.16467285	Y: 7.20016479	Z: -7.02819824
        Accel-X: -10.52429199	Y: -4.53369141	Z: 0.36865234	|  Gyro-X: 4.41131592	Y: 6.99829102	Z: -11.77597046
        Accel-X: -10.44128418	Y: -3.84338379	Z: 0.51757812	|  Gyro-X: 12.73300171	Y: 5.68984985	Z: -12.35916138
        Accel-X: -10.32897949	Y: -4.23645020	Z: 0.64147949	|  Gyro-X: -6.93099976	Y: 6.73660278	Z: -4.73281860
        Accel-X: -10.58349609	Y: -5.10559082	Z: 0.12756348	|  Gyro-X: -0.71777344	Y: 8.26187134	Z: -4.38140869
        Accel-X: -10.55419922	Y: -4.70275879	Z: 0.03601074	|  Gyro-X: 13.74984741	Y: 6.56463623	Z: -7.20764160
        Accel-X: -10.36682129	Y: -4.15039062	Z: 0.27099609	|  Gyro-X: 16.38916016	Y: 5.13656616	Z: -7.32727051
        Accel-X: -10.30517578	Y: -4.34936523	Z: 0.11108398	|  Gyro-X: 8.97216797	Y: 5.89172363	Z: -5.09918213
        Accel-X: -10.33935547	Y: -4.50866699	Z: -0.01953125	|  Gyro-X: 2.45986938	Y: 6.10107422	Z: -2.17575073
        Accel-X: -10.47912598	Y: -4.38537598	Z: 0.06103516	|  Gyro-X: -2.11593628	Y: 4.60571289	Z: 1.77200317
        Accel-X: -10.41198730	Y: -4.34509277	Z: 0.41870117	|  Gyro-X: -1.05422974	Y: 2.31033325	Z: 3.22998047
        Accel-X: -10.21179199	Y: -3.70361328	Z: 0.36804199	|  Gyro-X: 4.80758667	Y: 1.55517578	Z: 2.82623291
        Accel-X: -10.08850098	Y: -3.61145020	Z: 0.39733887	|  Gyro-X: 2.10845947	Y: 1.71218872	Z: 2.41500854
        Accel-X: -10.20874023	Y: -3.87390137	Z: 0.32897949	|  Gyro-X: -2.99819946	Y: 1.92153931	Z: 2.37762451
        Accel-X: -10.21423340	Y: -3.86596680	Z: 0.39978027	|  Gyro-X: 1.95144653	Y: 2.95333862	Z: -0.23925781
        Accel-X: -10.19104004	Y: -3.81896973	Z: 0.37353516	|  Gyro-X: 6.95343018	Y: 2.84118652	Z: -2.57949829
        Accel-X: -10.08666992	Y: -3.47900391	Z: 0.38635254	|  Gyro-X: 3.54400635	Y: 2.48977661	Z: -2.87109375
        Accel-X: -10.13732910	Y: -4.09606934	Z: 0.33630371	|  Gyro-X: 0.88973999	Y: 3.54400635	Z: -4.11972046
        Accel-X: -10.32165527	Y: -4.04907227	Z: 0.13122559	|  Gyro-X: 4.61318970	Y: 3.52905273	Z: -5.33843994
        
