        Accel-X: -0.84594727	Y: 0.39794922	Z: 0.66528320	|  Gyro-X: 30.86425781	Y: 64.44259644	Z: -0.82244873
        Accel-X: -1.96472168	Y: 0.67932129	Z: 2.65563965	|  Gyro-X: 43.29071045	Y: 43.62716675	Z: -2.54211426
        Accel-X: -2.35412598	Y: 1.06018066	Z: 4.39331055	|  Gyro-X: 49.98992920	Y: 27.43240356	Z: 0.55328369
        Accel-X: -2.20764160	Y: 1.90979004	Z: 5.73913574	|  Gyro-X: 58.20693970	Y: 16.41906738	Z: 1.02432251
        Accel-X: -2.17346191	Y: 2.27233887	Z: 7.05139160	|  Gyro-X: 55.02182007	Y: 6.66931152	Z: -6.34780884
        Accel-X: -1.97204590	Y: 2.26501465	Z: 8.15795898	|  Gyro-X: 30.98388672	Y: 4.36645508	Z: -3.04306030
        Accel-X: -1.67968750	Y: 2.50671387	Z: 9.16198730	|  Gyro-X: 10.01892090	Y: 4.81506348	Z: -0.20935059
        Accel-X: -2.08984375	Y: 2.48046875	Z: 9.30114746	|  Gyro-X: 3.88046265	Y: 4.51599121	Z: -1.42059326
        Accel-X: -1.78894043	Y: 2.38586426	Z: 9.45129395	|  Gyro-X: 7.67120361	Y: 2.47482300	Z: -6.28051758
        Accel-X: -1.65466309	Y: 1.79321289	Z: 9.69482422	|  Gyro-X: 10.37033081	Y: 0.91217041	Z: -8.88244629
        Accel-X: -1.94213867	Y: 1.90063477	Z: 9.54895020	|  Gyro-X: 14.72930908	Y: -0.71029663	Z: -10.53482056
        Accel-X: -1.71875000	Y: 1.93237305	Z: 9.83581543	|  Gyro-X: 18.16116333	Y: -2.43743896	Z: -11.56661987
        Accel-X: -1.95129395	Y: 2.05566406	Z: 9.90051270	|  Gyro-X: 13.75732422	Y: 1.30844116	Z: -9.95910645
        Accel-X: -1.80786133	Y: 1.91711426	Z: 9.97985840	|  Gyro-X: 13.03955078	Y: 0.20187378	Z: -11.23016357
        Accel-X: -2.00561523	Y: 1.85485840	Z: 9.63928223	|  Gyro-X: 10.57968140	Y: -0.20187378	Z: -10.96847534
        Accel-X: -1.93664551	Y: 1.96533203	Z: 9.63073730	|  Gyro-X: 4.46365356	Y: -2.01126099	Z: -10.10864258
        Accel-X: -1.75415039	Y: 1.75292969	Z: 9.74243164	|  Gyro-X: -2.74398804	Y: -1.51031494	Z: -8.79272461
        Accel-X: -1.83776855	Y: 1.50756836	Z: 9.87915039	|  Gyro-X: -8.27682495	Y: 0.63552856	Z: -5.89920044
        Accel-X: -1.89697266	Y: 1.84082031	Z: 9.78149414	|  Gyro-X: -5.76461792	Y: 2.15332031	Z: -3.86550903
        Accel-X: -1.92810059	Y: 1.52954102	Z: 9.66186523	|  Gyro-X: 4.17953491	Y: 2.35519409	Z: -3.85803223
        Accel-X: -1.96960449	Y: 1.76879883	Z: 9.55566406	|  Gyro-X: 10.60958862	Y: 1.43554688	Z: -3.69354248
        Accel-X: -2.04589844	Y: 2.07336426	Z: 9.52209473	|  Gyro-X: 10.99838257	Y: 1.17385864	Z: -4.27673340
        Accel-X: -1.92321777	Y: 2.25769043	Z: 9.55749512	|  Gyro-X: 6.45248413	Y: -0.95703125	Z: -6.69174194
        Accel-X: -1.81091309	Y: 1.91772461	Z: 9.90356445	|  Gyro-X: 2.01126099	Y: -1.91406250	Z: -7.90298462
        Accel-X: -1.75415039	Y: 1.87927246	Z: 9.92736816	|  Gyro-X: -1.48788452	Y: -1.96640015	Z: -6.66931152
        Accel-X: -1.78710938	Y: 1.79321289	Z: 9.79187012	|  Gyro-X: -0.69534302	Y: -1.03179932	Z: -6.37771606
        Accel-X: -1.91345215	Y: 1.86218262	Z: 9.71008301	|  Gyro-X: 2.22061157	Y: -1.45050049	Z: -7.08801270
        Accel-X: -1.93054199	Y: 1.62963867	Z: 9.73022461	|  Gyro-X: 2.37762451	Y: -0.63552856	Z: -5.89172363
        Accel-X: -1.83715820	Y: 1.74987793	Z: 9.90478516	|  Gyro-X: 4.64309692	Y: -0.84487915	Z: -4.39636230
        Accel-X: -1.95739746	Y: 1.82128906	Z: 9.86816406	|  Gyro-X: 8.32916260	Y: -0.39627075	Z: -4.86740112
        Accel-X: -1.98364258	Y: 2.04284668	Z: 9.99328613	|  Gyro-X: 8.67309570	Y: -1.62994385	Z: -5.84686279
        Accel-X: -1.85607910	Y: 1.78222656	Z: 10.25939941	|  Gyro-X: 7.52166748	Y: -0.91217041	Z: -6.66183472
        Accel-X: -1.68273926	Y: 1.79931641	Z: 10.32653809	|  Gyro-X: 4.83749390	Y: 0.26168823	Z: -5.55526733
        Accel-X: -1.89514160	Y: 1.82250977	Z: 10.31433105	|  Gyro-X: 2.78137207	Y: 0.93460083	Z: -4.96459961
        
