        Accel-X: -11.04614258	Y: 0.04760742	Z: 1.10534668	|  Gyro-X: 12.76290894	Y: -5.29357910	Z: -6.95343018
        Accel-X: -10.93750000	Y: -0.13916016	Z: 1.26953125	|  Gyro-X: 6.21322632	Y: -4.15710449	Z: -5.64498901
        Accel-X: -11.15722656	Y: -0.36743164	Z: 1.24145508	|  Gyro-X: 4.66552734	Y: -3.01315308	Z: -4.88983154
        Accel-X: -11.28784180	Y: -0.57922363	Z: 1.11389160	|  Gyro-X: 5.97396851	Y: -3.08792114	Z: -3.82812500
        Accel-X: -11.18408203	Y: -0.47180176	Z: 1.27380371	|  Gyro-X: 8.69552612	Y: -2.63931274	Z: -1.80191040
        Accel-X: -11.26159668	Y: -0.26733398	Z: 1.42700195	|  Gyro-X: 8.44131470	Y: -0.75515747	Z: 0.17944336
        Accel-X: -11.28906250	Y: -0.16662598	Z: 1.06811523	|  Gyro-X: 3.05053711	Y: 0.50094604	Z: 2.47482300
        Accel-X: -11.29821777	Y: -0.29602051	Z: 1.17980957	|  Gyro-X: 6.45248413	Y: -0.11215210	Z: 2.05612183
        Accel-X: -11.28784180	Y: -0.05310059	Z: 1.11572266	|  Gyro-X: 10.90118408	Y: -0.64300537	Z: 0.58319092
        Accel-X: -11.06872559	Y: 0.28503418	Z: 1.18469238	|  Gyro-X: 8.86749268	Y: -0.56823730	Z: -1.21871948
        Accel-X: -11.06079102	Y: 0.14709473	Z: 1.10229492	|  Gyro-X: 0.29159546	Y: -0.31402588	Z: -1.74209595
        Accel-X: -11.06628418	Y: -0.46936035	Z: 1.02661133	|  Gyro-X: -2.17575073	Y: -1.02432251	Z: -1.61499023
        Accel-X: -10.93688965	Y: -0.44738770	Z: 1.02478027	|  Gyro-X: 4.55337524	Y: -1.51031494	Z: -2.60192871
        Accel-X: -10.99548340	Y: -0.25146484	Z: 1.24511719	|  Gyro-X: 11.35726929	Y: -1.39068604	Z: -2.58697510
        Accel-X: -11.05529785	Y: 0.31860352	Z: 1.34033203	|  Gyro-X: 13.55545044	Y: 0.64300537	Z: -2.07107544
