        Accel-X: -1.98852539	Y: 1.25000000	Z: 10.25390625	|  Gyro-X: 5.32348633	Y: 1.72714233	Z: -0.79254150
        Accel-X: -1.95190430	Y: 1.11267090	Z: 10.15808105	|  Gyro-X: 4.23187256	Y: 1.59255981	Z: -2.53463745
        Accel-X: -1.72058105	Y: 1.25427246	Z: 10.13427734	|  Gyro-X: 4.58328247	Y: 1.57760620	Z: -3.35708618
        Accel-X: -1.92016602	Y: 1.16943359	Z: 9.90295410	|  Gyro-X: 5.46554565	Y: 2.31033325	Z: -6.28051758
        Accel-X: -1.71569824	Y: 1.10229492	Z: 9.90600586	|  Gyro-X: 6.19079590	Y: 0.09719849	Z: -8.89739990
        Accel-X: -1.60827637	Y: 0.86181641	Z: 9.90539551	|  Gyro-X: 0.75515747	Y: -0.21682739	Z: -8.38897705
        Accel-X: -1.67663574	Y: 0.82641602	Z: 9.75891113	|  Gyro-X: -1.18133545	Y: 0.41870117	Z: -7.25250244
        Accel-X: -1.74499512	Y: 0.70068359	Z: 10.15441895	|  Gyro-X: 3.45428467	Y: 0.67291260	Z: -7.23007202
        Accel-X: -1.61376953	Y: 0.81665039	Z: 10.04333496	|  Gyro-X: 5.51788330	Y: 0.71777344	Z: -6.46743774
        Accel-X: -1.81091309	Y: 0.94238281	Z: 9.83398438	|  Gyro-X: 4.50103760	Y: 2.05612183	Z: -5.06927490
        Accel-X: -1.74682617	Y: 0.92712402	Z: 9.84985352	|  Gyro-X: 4.56832886	Y: 1.58508301	Z: -6.10107422
        Accel-X: -1.74621582	Y: 0.87829590	Z: 9.98718262	|  Gyro-X: 3.27484131	Y: 0.64300537	Z: -6.96090698
        Accel-X: -1.80480957	Y: 0.97961426	Z: 10.14343262	|  Gyro-X: -0.68786621	Y: 0.31402588	Z: -5.71975708
        Accel-X: -1.75964355	Y: 0.93811035	Z: 10.13244629	|  Gyro-X: 1.59255981	Y: -0.20187378	Z: -7.41699219
        Accel-X: -1.70532227	Y: 0.85937500	Z: 10.23925781	|  Gyro-X: 3.82064819	Y: -0.74020386	Z: -8.56094360
        Accel-X: -1.60888672	Y: 0.92407227	Z: 10.17639160	|  Gyro-X: 1.24114990	Y: -0.03738403	Z: -7.69363403
        Accel-X: -1.63696289	Y: 0.77026367	Z: 10.08483887	|  Gyro-X: -2.37762451	Y: 2.13088989	Z: -6.59454346
        Accel-X: -1.54724121	Y: 0.72143555	Z: 10.17272949	|  Gyro-X: 1.39068604	Y: 2.84866333	Z: -7.21511841
        Accel-X: -1.55700684	Y: 0.71655273	Z: 9.96826172	|  Gyro-X: 6.41510010	Y: 2.85614014	Z: -7.71606445
        Accel-X: -1.70410156	Y: 0.81420898	Z: 9.96826172	|  Gyro-X: 7.46185303	Y: 2.60940552	Z: -7.60391235
        Accel-X: -1.58203125	Y: 0.72326660	Z: 9.93652344	|  Gyro-X: 10.69183350	Y: 1.44302368	Z: -7.07305908
        Accel-X: -1.51306152	Y: 0.97900391	Z: 9.96215820	|  Gyro-X: 11.69372559	Y: 0.71777344	Z: -6.04125977
