        Accel-X: -2.55004883	Y: 0.33691406	Z: 8.87939453	|  Gyro-X: -7.01324463	Y: 1.36077881	Z: -2.10845947
        Accel-X: -2.54821777	Y: 0.60729980	Z: 8.85375977	|  Gyro-X: -10.83389282	Y: -2.31033325	Z: -0.28411865
        Accel-X: -2.27233887	Y: -0.23986816	Z: 8.90869141	|  Gyro-X: -12.02270508	Y: -5.26367188	Z: 1.60751343
        Accel-X: -2.24853516	Y: -0.40222168	Z: 8.82812500	|  Gyro-X: -7.61886597	Y: -7.92541504	Z: 4.48608398
        Accel-X: -2.67639160	Y: 0.47668457	Z: 9.82360840	|  Gyro-X: -7.31231689	Y: -8.32916260	Z: 9.12170410
        Accel-X: -2.59155273	Y: 0.46569824	Z: 9.74365234	|  Gyro-X: -13.18908691	Y: -5.60012817	Z: 13.84704590
        Accel-X: -2.40234375	Y: 0.39672852	Z: 9.46899414	|  Gyro-X: -11.69372559	Y: -4.47113037	Z: 12.76290894
        Accel-X: -3.03161621	Y: 1.04675293	Z: 10.11474609	|  Gyro-X: -7.05062866	Y: -4.93469238	Z: 13.55545044
        Accel-X: -2.97729492	Y: 1.18103027	Z: 9.90966797	|  Gyro-X: -3.97766113	Y: -4.20944214	Z: 13.97415161
        Accel-X: -2.59948730	Y: 1.41113281	Z: 9.59716797	|  Gyro-X: -2.25799561	Y: -5.57022095	Z: 9.38339233
        Accel-X: -2.47741699	Y: 1.23840332	Z: 10.07812500	|  Gyro-X: -2.13836670	Y: -10.95352173	Z: 3.32717896
        Accel-X: -2.47070312	Y: 1.23046875	Z: 10.39550781	|  Gyro-X: -9.19647217	Y: -13.42834473	Z: 2.09350586
        Accel-X: -2.22290039	Y: 0.52246094	Z: 10.31005859	|  Gyro-X: -16.34429932	Y: -9.87686157	Z: 3.54400635
        Accel-X: -2.31506348	Y: 0.75317383	Z: 10.68908691	|  Gyro-X: -12.63580322	Y: -8.35906982	Z: 2.34771729
        Accel-X: -2.27111816	Y: 0.57617188	Z: 10.86914062	|  Gyro-X: -6.99081421	Y: -4.97207642	Z: 2.63183594
        Accel-X: -2.41699219	Y: 1.02416992	Z: 10.69946289	|  Gyro-X: 4.19448853	Y: -0.91964722	Z: 4.14962769
        Accel-X: -2.10998535	Y: 1.06140137	Z: 10.24475098	|  Gyro-X: 18.18359375	Y: 5.06927490	Z: 2.57949829
        Accel-X: -2.28515625	Y: 1.69006348	Z: 10.01892090	|  Gyro-X: 23.78372192	Y: 3.67111206	Z: -1.97387695
        Accel-X: -2.31628418	Y: 1.47277832	Z: 10.15197754	|  Gyro-X: 18.66210938	Y: 2.68417358	Z: -2.96829224
        Accel-X: -2.27294922	Y: 1.78527832	Z: 10.09399414	|  Gyro-X: 11.46194458	Y: 1.20376587	Z: -1.71966553
        Accel-X: -2.29675293	Y: 1.44226074	Z: 9.88464355	|  Gyro-X: 6.37771606	Y: 2.54211426	Z: -3.18511963
        Accel-X: -2.18383789	Y: 1.69616699	Z: 9.83581543	|  Gyro-X: 8.94226074	Y: 3.04306030	Z: -4.70291138
        Accel-X: -2.03247070	Y: 1.39221191	Z: 10.13610840	|  Gyro-X: 1.14395142	Y: 2.01126099	Z: -7.26745605
        Accel-X: -2.16674805	Y: 1.04919434	Z: 10.20812988	|  Gyro-X: -4.29916382	Y: 1.91406250	Z: -6.64688110
        Accel-X: -2.39562988	Y: 1.05468750	Z: 10.38330078	|  Gyro-X: 0.12710571	Y: 3.42437744	Z: -7.58148193
        Accel-X: -2.33581543	Y: 0.75073242	Z: 10.15686035	|  Gyro-X: 10.80398560	Y: 5.33096313	Z: -11.06567383
        Accel-X: -2.17041016	Y: 0.57861328	Z: 10.09887695	|  Gyro-X: 11.65634155	Y: 6.70669556	Z: -10.77407837
        Accel-X: -2.18872070	Y: 0.79040527	Z: 9.87792969	|  Gyro-X: 3.88046265	Y: 8.88244629	Z: -6.25808716
        Accel-X: -2.39135742	Y: 0.77514648	Z: 9.65332031	|  Gyro-X: -3.21502686	Y: 10.71426392	Z: -3.70849609
        Accel-X: -2.39990234	Y: 1.05224609	Z: 9.81140137	|  Gyro-X: 4.47860718	Y: 8.68057251	Z: -8.49365234
        Accel-X: -2.48229980	Y: 0.71594238	Z: 10.04882812	|  Gyro-X: 7.37960815	Y: 7.52914429	Z: -8.91983032
        Accel-X: -2.52502441	Y: 1.13098145	Z: 9.86511230	|  Gyro-X: 2.43743896	Y: 8.37402344	Z: -6.89361572
        Accel-X: -2.81188965	Y: 1.40502930	Z: 9.63928223	|  Gyro-X: 1.95892334	Y: 7.48428345	Z: -9.66003418
        Accel-X: -2.47131348	Y: 1.10290527	Z: 9.81140137	|  Gyro-X: 3.26736450	Y: 4.56832886	Z: -12.54608154
        Accel-X: -2.63427734	Y: 1.02416992	Z: 9.70520020	|  Gyro-X: -1.47293091	Y: 5.01693726	Z: -11.68624878
        Accel-X: -2.55554199	Y: 0.77636719	Z: 9.74487305	|  Gyro-X: -5.98892212	Y: 5.02441406	Z: -9.55535889
        Accel-X: -2.65563965	Y: 0.88195801	Z: 9.64477539	|  Gyro-X: -2.18322754	Y: 5.35339355	Z: -8.18710327
        Accel-X: -2.64465332	Y: 0.85021973	Z: 9.53979492	|  Gyro-X: 0.32897949	Y: 5.42816162	Z: -8.62823486
        
