        Accel-X: -1.80603027	Y: 2.01660156	Z: 9.58801270	|  Gyro-X: 5.27862549	Y: -0.06729126	Z: -4.05990601
        Accel-X: -1.76574707	Y: 2.02941895	Z: 9.57092285	|  Gyro-X: 6.83380127	Y: 0.07476807	Z: -3.11782837
        Accel-X: -1.76147461	Y: 2.24426270	Z: 9.52331543	|  Gyro-X: 6.92352295	Y: -0.29907227	Z: -2.93838501
        Accel-X: -1.74682617	Y: 2.15576172	Z: 9.73815918	|  Gyro-X: 5.00946045	Y: -1.44302368	Z: -3.97018433
        Accel-X: -1.66381836	Y: 2.14599609	Z: 9.77844238	|  Gyro-X: 2.73651123	Y: -0.78506470	Z: -2.75894165
        Accel-X: -1.69311523	Y: 2.20092773	Z: 9.81201172	|  Gyro-X: 2.32528687	Y: -0.23178101	Z: -2.44491577
        Accel-X: -1.71813965	Y: 2.13439941	Z: 9.80651855	|  Gyro-X: 4.05990601	Y: -0.26916504	Z: -2.49725342
        Accel-X: -1.76452637	Y: 2.24670410	Z: 9.94750977	|  Gyro-X: 6.86370850	Y: -0.59814453	Z: -3.45428467
        Accel-X: -1.75109863	Y: 2.17468262	Z: 9.95788574	|  Gyro-X: 6.33285522	Y: -0.59066772	Z: -4.29916382
        Accel-X: -1.66809082	Y: 2.14477539	Z: 10.05493164	|  Gyro-X: 3.91784668	Y: -0.16448975	Z: -3.62625122
        Accel-X: -1.71875000	Y: 2.24060059	Z: 10.02990723	|  Gyro-X: 2.47482300	Y: 0.99441528	Z: -3.55148315
        Accel-X: -1.70166016	Y: 2.17590332	Z: 9.96337891	|  Gyro-X: 4.45617676	Y: 1.18133545	Z: -4.87487793
        Accel-X: -1.64978027	Y: 2.15454102	Z: 9.97802734	|  Gyro-X: 1.15890503	Y: 1.65237427	Z: -3.47671509
        Accel-X: -1.68640137	Y: 2.16857910	Z: 9.82177734	|  Gyro-X: -2.81127930	Y: 2.96829224	Z: -1.77200317
        Accel-X: -1.71936035	Y: 2.03491211	Z: 9.68139648	|  Gyro-X: -0.32150269	Y: 2.57202148	Z: -3.08044434
        Accel-X: -1.70898438	Y: 2.11730957	Z: 9.66308594	|  Gyro-X: 4.59823608	Y: 0.20935059	Z: -5.71975708
        Accel-X: -1.70715332	Y: 2.12890625	Z: 9.67773438	|  Gyro-X: 5.46554565	Y: -0.68038940	Z: -6.30294800
        Accel-X: -1.60217285	Y: 2.06176758	Z: 9.63073730	|  Gyro-X: 3.65615845	Y: 0.78506470	Z: -4.11972046
